Adhyaya_no	Brahmana_no	Text_no	Hymn
1	1	1	Verily, Pragâpati, the Sacrifice, is the Year: the night of new moon is its gate, and the moon itself is the bolt of the gate.
1	1	2	And when one lays down the two fires at new moon ,--even as one would enter a stronghold by the gate, when the gate is open, and would thence reach the world of heaven, so it is when one lays down the fires at new moon.
1	1	2	And if one lays down the fires under a (special) asterism ,--just as if one tried to enter a stronghold, when the gate is closed, in some other way than through the gate, and failed to get inside the stronghold, so it is when one lays down the fires under an asterism: let him therefore not lay down the fires under an asterism.
1	1	4	On the same day on which that one (the moon) should not be seen either in the east or in the west,let him fast, for it is then that he (the moon) comes to this world , and on that (day) he abides here (on the sacrificial ground).
1	1	5	And all the gods abide (here), all the spirits, all the deities, all the seasons, all the Stomas (hymn-forms), all the Prishthas , and all the metres.
1	1	6	And, verily, it is for all the gods, for all spirits, for all deities, for all seasons, for all Stomas, for all Prishthas, and for all metres that the fires of him are laid down who lays them down at new moon: he should therefore lay them down at new moon.
1	1	7	He may lay down the fires on the new moon which falls in the (month) Vaisâkha, for that coincides with the Rohinî (asterism); for the Rohinî means the self, offspring and cattle : he thus becomes established in a self, in offspring and cattle. But, indeed, the new moon is the form of the Agnyâdheya: let him therefore lay down the fires at new moon;--let him perform the preliminary ceremony  at full moon, and the initiation ceremony at new moon.
1	2	1	Now when they spread (and perform) the sacrifice, they kill it; and when they press out king Soma, they kill him; and when they 'quiet' and cut up the victim, they kill it,--it is by means of the mortar and pestle, and by the two mill-stones that they kill the Haviryagña (grain-offering).
1	2	2	And having killed the sacrifice, he pours it, as seed, into the fire as its womb, for, indeed, the fire is the womb of the sacrifice, from out of it it is produced: let him therefore perform those ten oblations  for which the Vashat is uttered.
1	2	3	And, indeed, this sacrifice is the blowing (wind): he blows here, as it were, as a single one, but when he has entered into man, he is divided into ten parts;--with the vital airs thus distributed, it (the sacrifice) is born from out of its womb, the fire: this is that Virâg of ten syllables, this is that perfection, the sacrifice.
1	2	4	There may, however, be nine (oblations) ;--he thus forms a defective (lesser, lower) Virâg with a view to production; for from the lesser , indeed, creatures are produced here: this is that perfection, the sacrifice.
1	2	5	But there may be one additional (oblation) ,that one remains over for Pragâpati: this is that perfection, the sacrifice.
