Chapter	Text_no	Hymn
1	1	I meditate on the beginningless Brahmâvidyâ who is Sarvachaitanyarûpâ, of the nature of all-consciousness;  May She stimulate our buddhi to the realisation of That (or who stimulates our buddhi in different directions).
1	2	S’aunaka said :-- “O highly fortunate Sûta! O noble Sûta! You are the best of persons; you are blessed inasmuch as you have thoroughly studied all the auspicious Purânas.
1	3	O sinless one! you have gone through all the eighteen Purânas composed by Krisna Dvaipâyana; these are endowed with five excellent characteristics and full of esoteric meanings.Note :-- The characteristics are to make the mantras reveal to one's own self, to realise, to transfer to others the S’akti, force thereof, to prove the various manifestations of the several effects thereof, etc.
1	4-5	O Sinless one! It is not that you have read them like a parrot, but you have thoroughly grasped the meaning of them all as you have learnt them from Vyâsa himself, the son of Satyavati. Now it is our good merits that you have come at this divine holy excellent Vis'vasan Ksettra (place), free from any defects of the Kali age.
1	6-10	O Sûta! These Munis assembled here are desirous to hear the holy Purâna Samhitâ, that yields religious merits. So describe this to ns with your mind concentrated. O all-knowing Sûta! Live long and be free from the threefold sorrows of existence. O highly fortunate one! Narrate to us the Purâna equivalent to the Vedas. O Sûta! Those persons that do  not hear the Purânas, are certainly deprived by the Creator, though they have apparently the organ of hearing, of the power of tasting the sweet essence of words; because, the organ of hearing is gratified then and then only when it hears the words of the wise men, just as the organ of taste is satisfied then and then only when it tastes the six kinds of rasas (flavour, taste) (sweet, sour, pungent, bitter, salty, and astringent). This is known to all. The serpents that are void of the organ of hearing are enchanted by sweet music; then why should not those persons that have the organs of hearing and are averse to hear the Purânas, be thrown under the category of the deaf?
1	11-18	O Saumya! Hence all these Brâhmins, being distressed with the fear of this Kali, have come here to this Naimisâranya, eager to hear attentively the Purânas, and are staying here with this one object. Time must be spent away anyhow or other; those that are fools while away their times in sports and other evil practices and those that are learned pass away their times in meditating on the S’âstras; but these S’âstras are too vast and very varied; they contain Jalpas (debates or wrangling discussions to win over the opposite party), Vadas (sound doctrines to arrive at just conclusions), and various Arthavâdas (explanations and assertions, recommending Vidhis or precepts by stating the good arising from its proper observance and evils arising from its omission and also by adducing historical instances for its support; praises and eulogies) and filled with many argumentations. And, amongst these S’âstras again, the Vedânta is the Sâttvik, the Mimâmsas are the Râjasik and the Nyâya S’âstras with Hetuvâdas, are the Tâmasik; so the S’âstras are varied. Similarly, the Purânas are of three kinds :-- (3) S’attvik, (3) Râjasik and (3) Tâmasik. O Saumya! (one of gentle appearance) you have recited those Purânas endowed with five characteristics and full of many narratives; of these, the fifth Purâna, equivalent to the Vedas and with all the good qualities, the Bhâgavata yields Dharma and Kâma (religion and desires), gives liberation to those who desire for emancipation and is very wonderful; you mentioned this before but ordinarily; you did not dwell on this specially. Now these Brâhmanas are eager to hear gladly this divine auspicious Bhâgavata, the best of the Purânas; so kindly describe this in detail.
1	19-25	O knower of Dharma! By your faith and devotion to your Guru, you have become Sâttvik and thus have thoroughly known the Purâna Samhitâs spoken by Veda Vyâs. O Omniscient one! Therefore it is that we have heard many Purânas from your mouth; but we are not satisfied as the Devas are not satisfied with the drinking of the nectar. O Sûta! Fie to the nectar even  as the drinking of nectar is quite useless in giving Mukti. But hearing the Bhâgavata gives instantaneous Mukti from this Samsâra or round of birth and death. O Sûta! we performed thousands and thousands of Yajñas for the drinking of the nectar (Amrita), but never we got the full peace. The reason being that Yajñas lead to heaven only; on the expiry of the period of punya (good merits, the heavenly life ceases and one is expelled, as it were from the Heavens. Thus incessant sojourns in this wheel of Samsâra, the constant rounds of births and deaths never end. O Knower of every thing! Thus, without Jñâna (knowledge, wisdom) Mukti never comes to men, wandering in this wheel of Time (Kâlachakra) composedof the three Gunas. So describe this holy Bhâgavata, always beloved of the Mumuksas (those that desire Mukti), this secret work yielding liberation, holy and full of all sentiments (rasas).Thus ends the first chapter of the first Skandha on the questioning about the Purâna by Saunaka and other Rishis in the Mahâpurâna S’rîmad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.Here ends the First Chapter of the First Skandha of S’rîmad Devi Bhâgavatam on the questions by S’aunaka and other Risis.
2	1-5	S'rî Sûta said :-- “I am highly fortunate; I consider myself blessed and I am purified by the Mahâtmâs (high souled persons); inasmuch as I am questioned by them about the highly meritorious Purâna, famous in the Vedas. I will now speak in detail about this Purâna, the best of the Âgamas, approved of by all the Vedas and the secret of all the S’âstras. O Brahmins! I bow down to the gentle lotus feet, known in the three Lokas, of the Devî Bhagavatî, praised by Brahmâ and the other devas Visnu, Mahes’a and others, meditated always by the Munindras and which the Yogis contemplate as their source of liberation. Today I will devotedly describe, in detail and in plain language, that Purâna which is the best of all the Purânas, which gives prosperity and contains all the sentiments (Rasas) that a human being can conceive, the S’rimad Devî Bhâgavatam.May that Highest Primal S’akti who is known as Vidyâ in the Vedas; who is omniscient, who controls the innermost of all and who is skilled in cutting off the knot of the world, who cannot be realised by the wicked and the vicious, but who is visible to the Munis in their meditation, may that Bhagavatî Devî give me always the buddhi fit to describe the Purâna!I call to my mind the Mother of all the worlds who creates this universe, whose nature is both real (taking  gross, practical point of view) and and unreal (taking a real point of view), preserves and destroys by Her Râjasik, Sâttvik and Tâmasik qualities and in the end resolves all these into Herself and plays alone in the period of Dissolution - at this lime, I remember my that Mother of all the worlds.
2	6-10	It is commonly known that Brahmâ is the creator of this universe; and the knowers of the Vedas and the Purânas say so; but they also say that Brahmâ is born of the navel-lotus of Visnu. Thus it appears that Brahmâ cannot create independently. Again Visnu, from whose navel lotus Brahmâ is born, lies in Yoga sleep on the bed of Ananta (the thousand headed serpent) in the time of Pralaya; so how can we call Bhagavân Visnu who rests on the thousand headed serpent Ananta as the creator of the universe? Again the refuge of Ananta is the water of theocean Ekârnava; a liquid cannot rest without a vessel; so I take refuge of the Mother of all beings, who resides as the S’akti of all and thus is the supporter of all; I fly for refuge unto that Devî who was praised by Brahmâ while resting on the navel lotus of Visnu who was lying fast asleep in Yoga nidrâ. O Munis! meditating on that Maya Devî who creates, preserves and destroys the universe who is kuown as composed of the three gunas and who grants mukti, I now describe the whole of thePurânas; now you all better hear.
2	11-16	The Purâna S’rimad Bhâgavat (Devî Bhâgavat) is excellent and holy; eighteen thousand pure S’lokas are contained in it. Bhagavân Krisna Dvaipâyan has divided this Purâna into twelve auspicious Skandhas (Books) and three hundred and eighteen chapters. Twenty chapters compose the first Skandha; twelve chapters in the second Skandha; thirty chapters in the the third Skandha; twenty-five chapters in the fourth Skandha, thirty-five, in the fifth; thirty-one, in the sixth; forty, in the seventh; twenty-four, in the eighth; fifty chapters in the ninth; thirteen, iu the tenth; twenty-four in the eleventh and fourteen chapters are contained in the twelfth Skandha, O Munis! Thus the Dvaipâyan Muni has arranged his chapters in each Skandha.
