Adhyaya_no	Brahmana_no	Text_no	Hymn
1	1	1	The Upâmsu (graha), forsooth, is the out-breathing of the Sacrifice , the Upâmsu-savana (press-stone) the through-breathing, and the Antaryâma (graha) the in-breathing.
1	1	2	Now as to why it is called Upâmsu. There is a graha called Amsu , that is Pragâpati: his out-breathing is this (graha); and because it is his out-breathing, therefore it is called Upâmsu.
1	1	3	This (graha) he draws without a strainer : whereby he puts the out-breathing into him as one tending away from him, and thus this forward-tending out-breathing of his streams forth from him. He purifies it with sprigs of Soma, thinking 'it shall be pure.' He purifies it with six (sprigs), for there are six seasons: it is by means of the seasons that he thus purifies it.
1	1	4	As to this they say, 'When he purifies the Upâmsu by means of sprigs, and all (other) Soma-draughtsare purified by means of a strainer, whereby, then, do its sprigs become pure?'
1	1	5	He throws them down again (on the unpressed plants) with , 'What inviolable, quickening name is thine, to that Soma of thine, O Soma, be Hail!' Thus his sprigs become purified by means of the Svâhâ ('Hail!'). But this graha means everything, for it is the type of all the pressings .
1	1	6	Now, once on a time, the gods, while performing sacrifice, were afraid of an attack from the Asura-Rakshas. They said, 'Let us completely establish the sacrifice: if the Asura-Rakshas should then attack us, our sacrifice will at least be completely established.'
1	1	7	Even at the morning Soma-feast they then completely established the entire sacrifice ,--at this same (upâmsu) graha by means of the Yagus; at the first chant (stotra) by means of the Sâman; and at the first recitation (sastra) by means of the Rik: with that sacrifice thus completely established they subsequently worshipped. And in like manner does this sacrifice now become completely established,--by means of the Yagus at this same graha; by means of the Sâman at the first chant; and by means of the Rik at the first recitation; and with this sacrifice thus completely established he subsequently worships.
1	1	8	He presses (the Soma) eight times; for of eightsyllables consists the Gâyatrî, and the morning Soma-feast belongs to the Gâyatrî; thus this (first turn of pressing) is made to be the morning Soma-feast.
1	1	9	He draws (the juice of the first turn of pressing into the cup) with , 'Grow thou pure for Vâkaspati!' for Vâkaspati (lord of speech) is the out-breathing, and this (Upâmsu) graha is the out-breathing: hence he says, 'Grow thou pure for Vâkaspati!'--'purified by the hands with the sprigs of the bull;' for he purifies it with sprigs of Soma: hence he says, 'with the sprigs of the bull;' and 'purified by the hands (gabhasti-pûta ),' he says; for--'gabhasti' being the same as 'pâni' (hand)--he indeed purifies it with his hands.
1	1	10	He then presses eleven times; for of eleven syllables consists the Trishtubh, and the midday Soma-feast belongs to the Trishtubh: thus this (second turn of pressing) is made to be the midday Soma-feast.
1	1	11	He draws (the juice into the cup) with, 'Grow thou pure, a god, for the gods--;' for he (Soma) is indeed a god, and for the gods he becomes pure;--'whose portion thou art;' for he indeed is their portion.
1	1	12	He then presses twelve times; for of twelve syllables consists the Gagatî, and the evening Soma-feast belongs to the Gagatî: thus this (third turn of pressing) is made to be the evening Soma-feast.
1	1	13	He draws (the juice) with, 'Make thou our draughts sweet!' whereby he imbues him (Soma) with sap, and renders him palatable for the gods: hence, when slain, he does not become putrid . And when he offers (that graha) he thereby completely establishes him.
1	1	14	'For one desirous of spiritual lustre (brahmavarkasa) he should press eight times at each (turn),' so they say;--for of eight syllables consists the Gâyatrî, and the Gâyatrî is the Brahman: he indeed becomes endowed with spiritual lustre.
1	1	15	Thus the pressing amounts to twenty-four times (of beating). Now there are twenty-four half-moons in the year; and Pragâpati (the lord of creatures) is the year, and the sacrifice is Pragâpati: thus as great as the sacrifice is, as great as is its measure, so great he thereby establishes it.
1	1	16	'For one desirous of cattle he should press five times at each (turn),' so they say;--the cattle (animal victims) consist of five parts: he indeed gains cattle; and there are five seasons in the year; and Pragâpati is the year, and the sacrifice is Pragâpati thus as great as the sacrifice is, as great as is its measure, so great he thereby establishes it. This, however, is mere speculation: it is the other (manner) which is practised.
1	1	17	Having drawn the graha, he wipes (the vessel) all round, lest any (Soma-juice) should trickle down. He does not deposit it; for this is his out-breathing, whence this out-breathing passes unceasingly. Should he, however, desire to exorcise, he maydeposit it  with, 'I put thee down, the out-breathing of N.N.!' Thus, forsooth, inasmuch as he (the Adhvaryu) does not quit his hold of it, it is not again in that (enemy); and thus both the Adhvaryu and the Sacrificer live long.
1	1	18	Or he may merely cover (the vessel by his hand) with, 'I shut thee off, the out-breathing of N.N.!' Thus, forsooth, inasmuch as he does not deposit it, it is not again in that enemy; and thus he does not disorder the vital airs.
1	1	19	While he is still inside (the Havirdhâna) he utters 'Hail!' For the gods were afraid lest the Asura-Rakshas should destroy what part of this graha was previous to the offering. They offered it (symbolically) by means of the Svâhâ, while they were still inside (the cart-shed), and what was thus offered they afterwards offered up in the fire. And in like manner does he now offer it up by means of the Svâhâ, while he is still inside, and what has thus been offered he afterwards offers up in the fire.
1	1	20	He then walks out (of the Havirdhâna) with, 'I walk along the wide air .' For along the airthe Rakshas roams rootless and unfettered on both sides, even as man here roams along the air, rootless and unfettered on both sides ; and, that formula being the Brahman (prayer), a slayer of the Rakshas, he, by means of that Brahman, renders the air free from danger and injury.
1	1	21	Thereupon he (the Sacrificer) asks a boon. For the gods, forsooth, greatly desire to obtain the offering of that graha, and they grant to him that boon, in order that he may forthwith offer that graha to them: this is why he asks a boon.
1	1	22	He (the Adhvaryu) offers with , 'Self-made thou art,' for, this graha being his (Yagña's) out-breathing, it is indeed made by itself, born of itself : hence he says, 'Self-made thou art;'--'for all powers, divine and earthly,'--for it is born of itself for all creatures ;--'May the mind obtain thee!'--the mind being Pragâpati, he thereby means to say, 'may Pragâpati obtain thee!' 'Hail! thee, O well-born, for Sûrya!' thus he utters the second  (or inferior) 'Hail!' with regard to a subsequent  (or higher; the highest) deity.
