Chapter	Text_no	Hymn
1	1-5	Sûta said :-- Glad to hear the excellent divine stories of the Solar and Lunar races, the virtuous King Janamejaya, the son of Parîksit, again asked :-- “O Lord! I am now very eager to hear the increase of the two lines of Kings. O Sinless One! You know everything. So kindly describe, in detail, the pure histories, capable to destroy sins, of the kings and their characters. The kings of the Lunar and the Solar races were great Bhaktas of the Highest S'akti, S'rî Bhagavatî Devî; this I have heard. O Muni! Who wants not to hear further on the glorious anecdotes of the Bhaktas of the S'rî Devî?” When the Râjarsi asked thus, the Muni Krisna Dvaipâyan, the son of Satyavatî began to narrate gladly the several deeds of the Kings.
1	6-13	O King! I am now narrating to you in detail the origin, etc., of the Lunar and the Solar dynasties as well as of other kings in their connection. Hear attentively. The four-faced Brahmâ sprang from the navel of Visnu; engaged in practising Tapasyâ, he began to worship the Mahâ Devî Durgâ, extremely hard to conceive. Mahâ Devî, pleased at his worship, granted boon to Brahmâ; Brahmâ, the Grandsire of all the Lokas on thus getting the boon, became ready to create the world; but he could not create all on a sudden the human beings. Though the creation was eternally fashioned by the Pramâtmâ Bhagavatî, the four-faced Brahmâ thinking over in his mind variously, could not quickly spread it out and accomplish it as a veritable fact. Therefore He, the Prajâpati, first created mentally the seven mind-born sons. These were known by the names of Marîchi, Atri, Angirâ, Pulastya, Pulaha, Kratu and Vais'istha. Next sprang Rudra from the anger of Prajâpati, Nârada from his lap; Daksa from his right thumb. Thus Sanaka and the other Risis were also his mind-born sons. O King! The wife of Daksa was born from the left thumb of Prajâpati; this all-beautiful daughter is well known in all the Purânas by the name of Vîrinî and Asiknî. Nârada, the chief of the Devarsis, was born, on some other occasion in her womb.
1	14-17	Janamejaya said :-- “O Brâhmân! A great doubt arises in me to hear that the great ascetic Nârada was born of Daksa in the womb of Vîrinî. The Muni Nârada indeed, was the son of Brahmâ; moreover be was the foremost of the ascetics and especially endowed with theknowledge of Dharma; how, then, can he be born of the womb of the Daksha's wife Vîrinî. Well, if that be so, then describe, in detail, that wonderful story of the birth of Nârada in the womb of Vîrinî.
1	18-31	O Muni! Under whose curse, the high-souled Nârada though very wise, had to leave his first body and be born again.” Vyâsa said :-- O King, Brahmâ, the Self-born, with a view to create offspring, ordered first Daksa :-- “Go and multiply innumerable children for the increase of the world.” Thus ordered by his father the Prajâpati Daksa produced five thousand powerful and heroic sons in the womb of Vîrinî. Seeing all the sons of Daksa, desirous to multiply, the Devarsi Nârada urged on, as it were, by Fate, began to laugh at them. How do you desire to multiply when you know not the dimensions and capacity of earth; so you will, no doubt, be put to ridicule and laughter. Rather, if you proceed on work, knowing beforehand the earth's capacity, your efforts will be fruitful. Otherwise, your attempt will no doubt, end in failures. Alas! You are awfully illiterate! Not knowing the dimensions of the world, you are ready to multiply your progeny; how, then, can you meet with success! Vyâsa said :-- O King! Hearing, all on a sudden, these words, Haryas'va and other sons began to speak with each other, “What this Muni has told, is very true. Let us then ascertain the earth's dimensions; we can easily multiply afterwards.” Thus saying, they all went out to reconnoitre the earth. Thus excited at Nârada's words, some went eastward, some southwards, some towards the north and some went to west all simultaneously and, as they liked, to make a survey of the earth. When the sons went away, Daksa became exceedingly sorry on their absence. Bent again on multiplying, he begat other sons; those sons again wanted to procreate. Seeing them, Nârada again laughed and said :--Alas! What fools are you! Not knowing the dimensions of the earth, why are you ready to procreate? They were deluded by Nârada's words, took them as true, and went out as their elder brothers did. Not being able to see those sons, Prajâpati Daksa became very sorrowful for them and cursed Nârada in rage.
1	32-38	Daksa said :-- “O Evil-minded One! You have destroyed my sons; so be yourself destroyed; you will have to be born in the womb for your sin in causing the death of my sons; you have caused my sons to go abroad; so you must be born as my son.” Thus cursed by Daksa, Nârada had to take his birth in the womb of Vîrinî. I heard also that the Prajâpati Daksa begat afterwards sixty daughters in her womb. O King! Daksa, the great knower of Dharma, then gave up the sorrows for his sons and married his thirteen daughters to the high-souled Kas'yapa,ten daughters to Dharma, twenty-seven daughters to the Moon, two to Bhrigu, four to Aristanemi, two to Kris'âs'va and the remaining two to Angirâ. Their sons and grandsons, the Devas and Dânavas, became powerful but antagonistic towards each other. All of them were heroes and very Mâyâvis; so, deluded by their greed and jealousy, they quarrelled amongst each other.Here ends the First Chapter in the Seventh Book on the beginning of the narrative of the Solar and the Lunar lines of kings in the Mahâ Purânam S'rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
2	1	Janamejaya said :-- “O Highly Fortunate One! Kindly narrate in detail the spread of the families of those kings in the Solar line who were born and who were especially endowed with the knowledge of Dharma.”
2	2-8	Vyâsa said :-- O Bharata! I now speak to you exactly what I heard of yore, from Nârada, the best of the Risis, how the Solar race spread. Once, on an occasion, the Muni S'rîmân Nârada, on his tour, came at his will to my holy hermitage on the beautiful banks of the Sarasvatî river. On seeing him I bowed down at his feet and then remained standing before him. I then gave him a seat and worshipped him with great esteem. I then said to him :-- “O Best of Munis! You are worshipped by the whole universe; my retreat is sanctified by your coming. O All-knowing One! Kindly narrate the histories of the Kings that were famous in the family of the seventh Manu; they were unequalled as far as their origin was concerned and their diameters as well were wonderful. Therefore I am very eager to know, in detail, the history of the Solar race. O Muni! Describe shortly or in detail as the circumstances may require.” O King! When I made this question, Nârada, the knower of the Highest Reality, gladly smiled, and, addressing me, began to describe the history of the Solar race.
2	9-26	Nârada said :-- O son of Satyavatî! The history of the royal families is very holy and pleasant to hear; the more so when they are heard, one acquires Dharma and wisdom; therefore do you hear. In ancient times, Brahmâ sprang from the navel-lotus of Visnu and created theworld. This is well known in every Purâna. That self born, all-powerful, all-knowing, the Doer of all, the Universal Soul practised Tapas in ancient times for Ajuta (ten thousand) years. By virtue of that Tapas, He got special powers to create the world. He meditated on the Auspicious Mother, and getting from Her the excellent powers, He created first the mind-born sons, all endowed with auspicious signs. Of them, Marîchi became well known in this act of creation. His son Kas'yapa was respected by all and he was of great celebrity. He had thirteen wives, all daughters of Daksa Prajâpati. The Devas, Daityas, Yaksas, Pannagas, beasts and birds all sprang from him. Therefore this creation is called the Kâs'yapî creation. Amongst the Devas, the Sun is specially famous; his other name is Vivasvân. His son was named Vaivasvat Manu; he was a famous king. Besides, Manu had nine more sons. Iksvâku was the eldest. Their names are:  Nâbhâga,  Dhrista,  S'aryâti, Narisyanta,  Prâns'u,  Nriga,  Dista,  Karûsa, and  Risadhra. Iksvâku, the son of Manu was born first. He had one hundred sons, and Vikuksi was the wise and the eldest of these. I am now narrating how the nine sons, born afterwards of Manu, spread their families. Ambarisa was the son of Nâbhâga; he was very truthful, powerful, and religious. He always governed his subjects justly. Dhârstaka was the son of Dhrista; though he was a Ksattriya, he attained to Brâhmanhood. He was naturally weak in fighting; always be was engaged in the works relating to the Brâhmanas. Ânarta was the well known son and Sukanyâ was the beautiful daughter of S'aryâti. The King S'aryâti gave his beautiful daughter in marriage to the blind Chyavana Risi; but the Risi, though blind, got his beautiful eyes again by the good character of the daughter. We heard that the As'vins, the Twins, the sons of the Sun, gave him back his eyesight.
2	27-29	Janamejaya said :-- “O Brahmâns! How is it that the King S'aryâti married his lovely-eyed daughter Sukanyâ to the blind Chyavana Muni? I have got a great doubt on this point. The King gives his daughter in marriage to a blind person, if she be deformed, ill-qualified or void of female signs. But the daughter, in this case, was beautiful. How then S'aryâti, the Chief of Kings, gave over his daughter, knowing that the Risi was blind? O Brâhmana! I am always an object of favour to you; so explain to me the cause of it.”
2	30	Sûta said :-- Glad to hear these words of Janamejaya, the Muni Dvaipâyana smilingly said :--
