Adhyaya_no	Brahmana_no	Text_no	Hymn
1	1	1	Once upon a time the gods and the Asuras, both of them sprung from Pragâpati, strove together. And the Asuras, even through arrogance, thinking, 'Unto whom, forsooth, should we make offering?' went on offering into their own mouths. They came to naught, even through arrogance: wherefore let no one be arrogant, for verily arrogance is the cause  of ruin.
1	1	2	But the gods went on making offerings unto one another. Pragâpati gave himself up to them: thus the sacrifice  became theirs; and indeed the sacrifice is the food of the gods .
1	1	3	They then spake, 'To which of us shall this  belong?' They did not agree together, saying, 'To me! to me!' Not being agreed, they said, 'Let us run a race for it: whichever of us shall win, to him it shall belong!'--'So be it!' so they ran a race for it.
1	1	4	Then Brihaspati hasted up to Savitri for his impulsion ,--Savitri being the impeller (prasavitri) among the gods--saying, 'Impel this for me, (so that) impelled by thee, I may win this!' Then Savitri, as the impeller, impelled it for him, and impelled by Savitri, he won: he became everything here, he won everything here; for he won Pragâpati, and Pragâpati (the lord of creatures and procreation) indeed is everything here. By offering therewith he (Brihaspati) ascended to that upper region. Therefore who so knoweth, and who so knoweth not,--they say, 'That upper region belongeth to Brihaspati.'
1	1	5	Thus they who of old used to offer the Vâgapeya, ascended to that upper region. From there Aupâvi Gânasruteya descended again: thenceforward (all men) descend again.
1	1	6	Indra offered that (Vâgapeya),--he became everything here, he won everything here; for he won Pragâpati, and Pragâpati  is everything here: by offering therewith he ascended to that upper region.
1	1	7	Thus they who of old used to offer the Vâgapeya, ascended to that upper region. From there Aupâvi Gânasruteya descended' again: thenceforward (all men) descend again.
1	1	8	And whosoever offers the Vâgapeya, he becomes everything here, he wins everything here; for he wins Pragâpati, and Pragâpati indeed is everything here.
1	1	9	Here now they say, 'One must not offer the Vâgapeya; for he who offers the Vâgapeya wins everything here,--for he wins Pragâpati, and Pragâpati is everything here,--he leaves nothing remaining here: his people (or offspring) is like to become worse (off).'
1	1	10	Let him none the less sacrifice: whatever (priests) thus know that sacrifice properly, in respect of the Rik, the Yagus, and the Sâman, and such as are proficient, let them assist him in offering it; for verily this is the perfection of that sacrifice, when wise (priests) assist him in offering it: let him therefore sacrifice by all means.
1	1	11	Now truly this (the Vâgapeya) is the Brâhmana's own sacrifice, inasmuch as Brihaspati (the lord of prayer and devotion) performed it; for Brihaspati is the Brahman (priesthood, or priestly dignity), and the Brâhmana is the Brahman. And it is also that of the Râganya, inasmuch as Indri performed it; for Indra is the Kshatra (nobility, or ruling power), and the Râganya is the Kshatra.
1	1	12	To the king (râgan) doubtless belongs the Râgasûya; for by offering the Râgasûya he becomes king; and unsuited for kingship is the Brâhmana. And, moreover, the Râgasûya is the lower, and the Vâgapeya the higher (sacrifice).
1	1	13	For by offering the Râgasûya  he becomes king, and by the Vâgapeya (he becomes) emperor (samrâg); and the office of king is the lower, and that of emperor the higher: a king might indeed wish to become emperor, for the office of king is the lower, and that of emperor the higher; but the emperor would not wish to become king, for the office of king is the lower, and that of emperor the higher.
1	1	14	Thus that (king) who, by performing the Vâgapeya, becomes emperor, possesses himself of everything here. Previously to each performance (of an ishti ) he offers that oblation to Savitri (the sun), with the text, 'O divine Savitri, impel (prosper) the sacrifice, impel Pragâpati for his portion!'
1	1	15	And even as then Brihaspati hasted up to Savitri for his impulsion Savitri being the impeller among the gods--saying, 'Impel this for me, (so that) impelled by thee I may win it!' and Savitri, as the impeller, impelled it for him; and impelled by Savitri he won it; even so does this (sacrificing king) now haste up to Savitri for his impulsion--Savitri being the impeller among the gods--saying, 'Impel this for me: may I win it, impelled by thee!' and Savitri, as the impeller, impels it for him, and he wins it impelled by Savitri.
1	1	16	Wherefore he says , 'God Savitri, speed the sacrifice, speed the lord of sacrifice unto his portion! May the heavenly. thought-cleansing Gandharva cleanse our thought! May the Lord of Speech render our meat palatable, hail!' For the Lord of Speech is Pragâpati, and meat means food: 'May Pragâpati this day make palatable this our food!' thus he thereby says. This same oblation he offers till the day before the Soma-feast, for thus that performance of his has been commenced; and he (Savitri, the Sun) becomes serene during that sacrifice.
1	2	1	He draws the Amsu  (graha), just for completeness’ sake, for it is  that he drawsthe Amsu. After that he draws those recognised Agnishtoma cups  up to the Âgrayana.
1	2	2	, He then draws the Prishthyas : and whatever the gods (Agni, Indra, and Sûrya) won by them, even that he wins by them.
1	2	3	He then draws the Shodasin: and whatever Indra won thereby, even that he (the sacrificer) wins thereby.
1	2	4	He then draws those five Vâgapeya cups (for Indra; the first) with the text , 'Thee, the firm-seated, the man-seated, the mind-seated! Thou art taken with a support : I take thee, agreeable to Indra! This is thy womb' (i.e. thy home): thee, most agreeable to Indra!' therewith he deposits it; for of theseworlds this one, to wit the earth, is the firm one: this same world he thereby wins.
1	2	5	'Thee, the water-seated, the ghee-seated, the ether-seated! Thou art taken with a support: I take thee, agreeable to Indra! This is thy womb: thee most agreeable to Indra!' therewith he deposits it; for among these worlds that ether (mentioned in the formula) is this air: he thereby wins this air-world.
1	2	6	'Thee, the earth-seated, the air-seated, the sky-seated, the god-seated, the heaven-seated! Thou art taken with a support: I take thee, agreeable to Indra! This is thy womb: thee, most agreeable to Indra!' therewith he deposits it; for god-seated, heaven-seated indeed is yonder world of the gods: the world of the gods he thereby wins.
1	2	7	'The waters’ invigorating essence, being contained in the sun,--that which is the essence of the waters’ essence, that, the most excellent, I take for you! Thou art taken with a support: I take thee, agreeable to Indra! This is thy womb: thee, most agreeable to Indra!' therewith he deposits it; for the waters’ essence is he that blows (or purifies) yonder (the wind), and he is contained in the sun, he blows from the sun: that same essence he thereby wins.
1	2	8	'Ye cups, of strengthening libations, inspiring the sage with thought,--I have gathered together the pith and sap of you, the handleless! Thou art taken with a support: thee, agreeable to Indra! This is thy womb: thee, most agreeable to Indra!' therewith he deposits it;--pith means essence: it is the essence he thereby wins.
1	2	9	These, then, are five Vâgapeya cups he draws; for he who offers the Vâgapeya wins Pragâpati; and Pragâpati is the year, and there are five seasons in the year,--he thus wins Pragâpati: therefore he draws five Vâgapeya cups.
1	2	10	He (the Adhvaryu) then draws seventeen (other) cups of Soma, and (the Neshtri) seventeen cups of Surâ (spirituous liquor), for to Pragâpati belong these two (saps of) plants, to wit the Soma and the Surâ;--and of these two the Soma is truth, prosperity, light; and the Surâ untruth, misery, darkness: both these (saps of) plants he thereby wins; for he who offers the Vâgapeya wins everything here, since he wins Pragâpati, and Pragâpati indeed is everything here.
1	2	11	Now as to why he draws seventeen cups of Soma;--Pragâpati is seventeenfold, Pragâpati is the sacrifice : as great as the sacrifice is, as great as isits measure, with that much he thus wins its truth, its prosperity, its light.
1	2	12	And why he draws seventeen cups of Surâ;--Pragâpati is seventeenfold, Pragâpati is the sacrifice: as great as the sacrifice is, as great as is its measure, with that much he thus wins its untruth, its misery, its darkness.
1	2	13	These two amount to thirty-four cups; for there are thirty-three gods, and Pragâpati is the thirty-fourth: he thus wins Pragâpati.
1	2	14	Now when he buys the king (Soma), he at the same time buys for a piece of lead the Parisrut (immature spirituous liquor) from a long-haired man near by towards the south. For a long-haired man is neither man nor woman; for, being a male, he is not a woman; and being long-haired (a eunuch), he is not a man. And that lead is neither iron nor gold; and the Parisrut-liquor is neither Soma nor Surâ : this is why he buys the Parisrut for a piece of lead from a long-haired man.
1	2	15	And on the preceding day they prepare twoearth-mounds , the one in front of the axle, and the other behind the axle: 'Lest we should deposit together the cups of Soma, and the cups of Surâ,'--this is why, on the preceding day, they prepare two mounds, one in front, and the other behind the axle.
