Chapter	Text_no	Hymn
1	1-7	Nârada said :-- O Deva! The rules of Sadâchâra (right ways of living) and the all-sin-destroying unequalled Glories of the Devî Bhagavatî have been described by Thee. And I, too, have heard the nectar of the Glories of the Devî from Thy lotus mouth. The Chândrâyana and other Vratas; described by Thee, are very difficult to practise. So they are impracticable with the ordinary persons. Therefore, O Lord! Kindly describe those actions which can easily be carried out by common persons, at the same time, the Devî's Grace and Siddhis can be obtained by those practices. Again what thou hast described about the Gâyatrî in connection with Sadâchâra kindly say which are the chief and foremost as well as those that are more meritorious. O Best of the Munis! Thou hast told that there are the twenty-four syllables in the Gâyatrî. Kindly describe now their Risis, Chhandas, Devatâs and other things that should be known regarding them and thus satisfy my longings.
1	8-27	S’rî Nârâyana said :-- O Nârada! The twice-born would have done what they ought to do if they be engaged in repeating their Gâyatrî only, whether they be able or not able to practise the Chândrâyana and the other vratas. Whichever Brâhmin repeats the Gâyatrî three thousand times and offers Arghya to the Sun in the three Sandhyâ times, the Devas worship him; what to speak of other ordinary persons! Whether he practises Nyâsa or not, if anybody sincerely repeats the Gâyatrî Devî, Whose Nature is Existence, Intelligence, and Bliss and meditates on Her, even if he attains siddhi in one syllable even, then as a result of that, he can vie with the best of the Brâhmanas, the Moon, and the Sun; nay, with Brahmâ, Visnu, and Mahes'vara even! O Nârada! Now I will tell in due order the Risis, Chhandas, and the Devatâs of the twenty-four syllables of the Gâyatrî. The Risis, in due order, are  Vâma Deva,  Attri,  Vas'istha,  S’ukra,  Kanva,  Parâs'ara,  the very fiery Vis'vamitra,  Kapila,  S’aunaka,  Yâjñavalkya,  Bharadvâja,  the ascetic Jamadagni,  Gautama,  Mudgala,  Vedavyâsa,  Lomas'a,  Agastya,  Kaus'ika,  Vatsya,  Pulastya,  Mânduka,  the ascetic in chief Durvâsâ,  Nârada and  Kas'yapa.Now about the chhandas :--  Gâyatrî,  Usnik,  Anustup,  Brihatî,  Pankti,  Trisnup,  Jagatî,  Atijagatî,  S’akkarî,  Ati S’akkarî,  Dhriti,  Ati Dhriti,  Virât,  Prastârapankti,  Kriti,  Prâkriti,  Âkriti,  Vikriti,  Samkriti,  Aksarapankti,  Bhuh,  Bhuvah,  Svah and  Jyotismatî. The Devatâs of the several letters in due order, are :--  Agni,  Prajâpati,  Soma,  Îs'âna,  Savitâ,  Âditya,  Brihaspati,  Maitrâvaruna,  Bhagadeva,  Aryamâ,  Ganes'a,  Tvastrâ,  Pûsâ,  Indrâgnî,  Vâyu,  Vâmadeva,  Maitrâ varunî  Vis'vadeva,  Mâtrikâ,  Visnu,  Vasu,  Rudra Deva,  Kuvera, and  the twin As'vinî Kumâras. O Nârada! Thus I have described to you about the the Devatâs of the twenty-four syllables. The hearing of this destroys all sins and yields the full results of repeating the mantra Gâyatrî. (Note :-- The Devatâs, mentioned in the Gâyatrî Brahmâ Kalpa are different from those mentioned here.)Here ends the first Chapter of the Twelfth Book on the description of Gâyatrî in the Mahâpurânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
2	1-18	Nârâyana said :-- O Nârada! O Great Muni! Now hear which are the S’aktis in due order of the twenty four syllables of the Gâyatrî Devî:--  Vâma Devî,  Priyâ,  Satyâ,  Vis'vâ,  Bhadravilâsinî,  Prabhâ Vatî,  Jayâ,  S’ântâ,  Kântâ,  Durgâ,  Sarasvatî,  Vidrumâ,  Vis'âle'sâ,  Vyâpinî,  Vimalâ,  Tamopahârinî,  Sûksmâ,  Vis'vayoni,  Jayâ,  Vas'â,  Padmâlayâ,  Parâs'obhâ,  Bhadrâ, and  Tripadâ.Now hear the respective colours of the several syllables of the Gâyatrî Devî :--  like Champaka and Atasî flowers,  like Vidruma,  like crystal,  like lotus;  like the Rising Sun;  white like conchshell;  white like Kunda flower;  like Prabâla and lotus leaves;  like Padmarâga,  like Indranîlamani;  like pearls;  like Saffron;  like the black collyrium of the eye;  red;  like the Vaidûrya mani;  like Ksaudra (Champaka tree, honey, water);  like turmeric;  like Kunda flower; and the milk  like the rays of the Sun;  like the tail of the bird S’uka;  like S’atapatra;  like Ketakî flower;  like Mallikâ flower;  like Karavîra flower. Now about their Tattvas :--  earth;  water;  fire;  air;  Âkâs'a (ether);  smell;  taste;  form;  sound; touch;  male generative organ;  anus;  legs,  hands;  speech;  Prâna (vital   breath);  tongue;  eyes;  skin;  ears;  Prâna (up going breath);  Apâna;  Vyâna,  Sâmâna.Now about the Mudrâs of the syllables:-- (l) Sammukha;  Samputa;  Vitata;  Vistrita;  Dvimukha,  Trimukha;  Chaturmukha;  Pañchamukha;  Sanmukha;  Adhomukha;  Vyâpakânjali  S’akata;  Yamapâs'a;  Grathita;  Sanmukhon mukha  Vilamba;  Mustika;  Matsya;  Kûrma;  Varâhaka;  Simhâkrânta,  Mahâkrânta;  Mudgara, and  Pallava.The Mahâmudrâs of the fourth foot of Gâyatrî are  Trisûlayonî  Surabhi;  Aksa mâlâ;  Linga; and  Ambuja. O Nârada! Thus I have described to you all about the Mudras, etc., of the several syllables of the Gâyatrî. If during Japam, one thinks all these and at the same time repeats, all his sins are destroyed and his wealth gets increase and the fame attends on him.Here ends the Second Chapter of the Twelfth Book on the description of the S’aktis, etc., of the syllables of Gâyatrî in the Mahâpurânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand Verses by Maharsi Veda Vyâsa.
3	1-3	Nârada spoke :-- O Bhagavân! Thou art the Lord of this world; Thou canst shew favour and disfavour both; Thou art specially versed in the sixty-four Kalâs (arts of learning); Thou art the chief of the Yogis. I therefore ask Thee to solve a doubt of mine. By what Punyam a man can become free from all his sins and limitations and he can realise and become of the nature of Brahmâ. O Lord! And what are duly the Risis, Chhandas, Devatâs, Dhyân, and Nyâsa, etc., of this meritorious act? I want to hear.
3	4-25	Nârâyana said :-- O Nârada! There is but one and the only one way to this and though that is very secret, I will disclose that to you. It is the Gâyatrî-Kavacha. It can destroy all sins. Therefore to recite or to hold it on one's body enables the man to become free from all his sins and to get all his desires fulfilled and he gets the Sâyuya Mukti with the Devî (be merged in the Devî-Body). Now hear the Risis, Chhandas, etc., of this Kavacha :-- Brahmâ, Visnu and Mahes'vara are the Risis; the Rik, Yajus, Sâma and Atharva Vedas are the Chhandas; the Paramâ Kalâ Gâyatrî of the nature of Brahmâ is the Devatâ; “Tat” in Gâyatrî is the Vîja; “Bharga” is the S’akti; and “Dhîyah” is the Kîlaka; and its viniyoga (application) is in getting the Moksa (liberation.). With the first four syllables touch the heart; withthe next three letters touch the head; with the next four letters touch the tuft on the crown of the head; with the next three letters on the Kavacha; with the next four letters on the eyes and with the last four letters make the Nyâsa, all over the body repeating “Astrâya Phat,” O Nârada! Hear now the Dhyânam of Gâyatrî, that grants all desires. The Gâyatrî Devî has five faces; one of which is of white colour; and the other four is of pearl, Vidruma, golden, and Nîlakântamani colour respectively. Each face has got three eyes; on the head there is a crown of jewels and the digit of the Moon is shining there. Her body is composed of the twenty-four tattvas. She has ten hands :-- On the top right and left hands there are two lotuses; lower down, there are disc and conch shell; lower down, there are rope and skull; lower down, there are noose and goad; and on the bottom hands right and left she is making signs of “No fear” and “ready to grant boons.” Thus meditating on S’rî Gâyatrî, one is to recite the Kavacha thus :-- Let the Gâyatrî Devî protect my front; Sâvitrî Devî protect my right; the Sandhyâ Devî, my back and the Devî Sarasvatî, my left. Let my Mother Pârvatî Devî protect my quarters. Let Jalas'âyinî protect the southeast; Yâtudhâna Bhayankarî protect my South-west; Pavamânavilâsinî my north-west; Rudrarûpinî Rudrânî protect my north-east. Let Brahmânî protect my top and Vaisnavî protect my nether regions. Let the word “Tat” in the Gâyatrî protect my legs; “Savituh” protect my Knees; “Varenyam,” protect my loins; “Bhargah,” my navel. Let “Devasya” protect my heart; “Dhîmahî” protect my neck; “Dhîyah,” protect my eyes; “Yah,” protect my forehead; “Nah” protect my head; and “Prachodayât” protect the tuft on the crown of my head.Again let the “Tat” of the twenty-four syllabled Gâyatrî protect my head; “Sa,” protect my forehead; “Vi” protect my eyes; “Tu” my cheeks; “Va,” protect my nostrils; “Re,” my mouth; “ni” protect my upper lip; “Yah” protect my lower lip; “Bha” within my face; “rgo,” protect my cheeks; “De,” my throat; “Va” my shoulders; “Sya” my right hand; “Dhi” my navel; “ma,” my heart, “Hi,” my belly; “Dhî,” my navel; “Yo” my loins; “Yo”, my anus; “nah,” my thighs, “Pra,” my Knees; “Cho” my shanks “Da” my heels; “Yâ” my legs; and let “at” protect all my sides. O Nârada! This divine Kavacha of the Devî Gâyatrî can baffle hundreds and thousands of obstructions and evils; can grant sixty-four Kalâs and liberation. By the glory of this Kavacha, man can become free from all evils and can attain the state of Brahmâ. Moreover whoever reads or hears this acquires the fruits of making a gift of a thousand cows.Here ends the Third Chapter of the Twelfth Book on the description of the Kavacha of S’rî Gâyatrî Devî in the Mahâpurânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
4	1-2	Nârada said :-- O Bhagavân! I have heard from you all about the Kavacha and the Mantra of S’rî Gâyatrî. O Deva Deva! O Thou, the Knower of the present, the past, and the future! Now tell about the Hridaya, the highest, the interior or esoteric Essence of the Gâyatrî, holding which, if one repeats the Gâyatrî, he acquires all the punyam (merits), I am desirous to hear this.
4	3-8	Nârâyana said :-- O Nârada! This subject on the Hridaya of Gâyatrî is explicitly written in the Atharva Veda. Now I will speak on that, the great secret, in detail. Listen. First, consider the Gâyatrî, the Devî, the Mother of the Vedas as of a Cosmic Form (Virâ trupâ) and meditate all the Devas as residing on Her Body. Now in as much as the Pinda and Brahmânda are similar, consider yourself as of the form of the Devî and meditate within yourself on the Devatâs, thus :-- The Pundits, the Knowers of the Vedas, say this :-- He is not yet fit to worship the Deva and he is not an Adhikârî as yet who has not been able to make himself a Deva; therefore to establish the knowledge of the oneness of the Deva and himself, he is to meditate the Devas within his body, thus :-- O Nârada! Now I will speak on the Hridaya of Gâyatrî, knowing which every man becomes able to become all the Devas. Listen. The Risi of this Gâyatrî Hridaya is Nârâyana; the Chhandas is Gâyatrî; and S’rî Parames'varî Gâyatrî is the Devatâ. Perform the Nyâsa of this as mentioned before and taking your seat in a lonely place, meditate intently on the Devî with your heart and head well collected. Now I am speaking of the Arthanyâsa. Hear. Meditate on the Devatâ Dyau on your head; the twin As'vins on the rows of the teeth; the two Sandhyâs on your upper and lower lips; the Agni, Fire, within your mouth; Sarasvatî, on the tongue; Brihaspati on the neck; the eight Vasus on the two breasts; the Vâyus, on the two arms; the Paryanya Deva on the heart; Âkâs'a, on the belly; Antarîksam (the middle space) on the navel; Indra and Agni, on the loins; Prajâpati, the condensed form, as it were, of Vijñâna, on the hip joints; the Kailâs'a and the Malaya mountains on the two thighs; the Visvedevâs on the two knees; Vis'vâmitra on the shanks; the Sun's northern and southern paths, the Uttarâyana and Daksinâyanaon the anus; the Pitris on the thighs; the Earth on the legs; the Vanaspati on the fingers and toes; the Risis on the hairs of the body; the Muhûrtas on the nails; the planets on the bones; the Ritus (seasons) on the blood and flesh; the Samvatsaras on the Nimisa (twinkling of eye) the Sun and the Moon on the day and night respectively. Thinking thus, repeat “I take refuge of the Divine Holy Gâyatrî, the Chief and most Excellent One, the Thousand eyed and I take refuge wholly unto Her.”Then repeat “I bow down to Tat savitur varenyam,” “I bow down to the Rising Sun on the East,” “I bow down to the Morning Aditya,” “I bow down to the Gâyatrî, residing in the Morning Sun” and “I bow down to all.” O Nârada! Whoever recites this Gâyatrî Hridaya in the morning finds all the sins committed in the night all destroyed! Whoever recites this in the evening gets his sins of the day all destroyed! Whoever recites this in the evening and in the morning can rest assured to have become free of sins; he gets the fruits of all the Tîrthas; he is acquainted with all the Devas; he is saved if he has spoken anything that ought not to have been spoken; if he has eaten anything that is not fit to be eaten; if he has chewn and sucked anything that ought not to have been chewn and sucked; if he has done anything that ought not to have been done and if he has accepted hundreds and thousands of gifts that ought never to have been accepted.The sins incurred by eating with the others in a line cannot touch him. If he speaks lies, he will not be touched by the sins thereof; even if a non-Brahmachâri recites this, he will become a Brahmachârî. O Nârada! What more shall I say to you of the results of Gâyatrî Hridaya than this :-- that whoever will study this will acquire the fruits of performing thousand sacrifices and repeating the Gâyatrî sixty thousand times. In fact, he will get Siddhi by this. The Brâhmâna, who daily reads this in the morning will be freed of all the sins and go upwards to the Brahmâ (Loka) and is glorified there. This has been uttered by Bhagavân Nârâyana Himself.Here ends the Fourth Chapter of the Twelfth Book on Gâyatrî Hridaya in the Mahâpurânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
5	1	Nârada said :-- O All knowing One! Thou showest Thy grace to Thy devotees! Thou hast described this sin-destroying Gâyatrî Hridaya. Now describe Her Stava (hymn of praise).
5	2-29	Nârâyana said :-- O World-Mother! O Thou, favouring Thy devotees! O Thou, the Prime Force, O Omnipresent! Infinite! S’rî Sandhye! I bow down to Thee. Thou art the Sandhyâ; Thou art the Gâyatrî, Sâvitrî and Sarasvatî; Thou art Brâhmî, Vaisnavî and Raudrî and Thou art red, white, and black (the colours of Gâyatrî, Sâvitrî and Sarasvatî) that Thou assumest respectively. O Bhagavatî! Thou art always meditated by the Munis as young in the morning, full of youth in the mid-day, and aged in the evening. I bow down to Thee. Thou art seen by the Tapasvis (ascetics) as Brahmânî, riding on Hamsa (swan), Sarasvatî riding on Garuda, and Sâvitrî riding on Bull. Thou art seen within by the ascetics as manifesting the Rigveda (in the form of Sâvitrî) in this world, as manifesting Yayurveda in the middle space (antariksam) and as manifesting Sâmaveda everywhere in the Rudra loka, thus roaming in the three worlds. I bow down to Thee. O Devî! Thou art Rudrânî in the Rudra loka, Vaisnavî in the Visnu loka, and Brahmânî in the Brahmâ loka; thus Thou shewest Thy favour to the Immortals. O Devî! Thou art the Mother delighting the seven Risis (of the Great Bear); Thou art Mâyâ. Thou grantest great many boons to Thy Bhaktas. Thou art sprung from the eyes and hands, tears and perspiration of S’iva and S’ivâ. Thou art the Mother of delights, Durgâ Devî, recited by the following ten names :-- Varenyâ, Varadâ, Varisthâ, Varavarninî, Garisthâ, Varâhâ, Varârohâ, Nîlagangâ, Sandhyâ and Bhoga Moksadâ. Thou art the Bhâgirathî (the river Ganges) in this world; the Bhogavatî in the Pâtâla; and the Mandâkinî (the milky way) in the Heavens. Thou art in this world (Bhur loka) the all-enduring Prithvî (earth); Thou art the Vâyu S’akti (air power) in the middle space (Bhubhar Loka); Thou art the energy (the ocean of Tejas) in the Heavens (Svar loka); Thou art the Great Siddhi in the Mahar loka; Thou art Janâ in the Janar Loka; Thou art Tapasvinî in the Tapar loka; Thou art Truth (True Speech) in the Satya lokam. Thou art Kamalâ in Visnu loka; Gâyatrî in Brahmâ loka; and the other half of Hara as Gaurî in the Rudra loka. O Devî! Thou art sung as Prakriti – “Aham” “Om-Mahat” tattva and beyond that the Highest SarvaBrahmâ rûpinî and Sâmyâvasthâ Prakriti. Thou art the Parâ S’akti; Thou art the Paramâ S’akti; O Devî! Thou art the Tri-S’akti :-- the Ichchhâ S’akti (the will power), the Kriyâ S’akti (power of action) and the Jñâna S’akti (the force of knowledge). Thou art the Gangâ, Yamunâ, Vipâs'â, Sarasvatî, Sarayu, Devîkâ, Sindhu; Narmadâ, Îrâvatî, Godâvarî, S’atadru; Kâverî, Kaus'ikî, Chandra Bhâgâ, Vitastâ, Gandakî, Tapinî, Karatoyâ, Gomatî, and Vetravatî and other rivers; Thou art the Idâ, Pingalâ, and Susumnâ nerves; Thou art Gândhârî, Hastajihvâ, Pûsâ, Apûsâ, Alambusâ, Kuhû, S’ankhinî, Prânavâhinî and other nerves in the body; O Devî! Thou art the vital power in the lotus of the heart; Thou art Svapna nâikâ in the throat; Thou art Sadâdhârâ in the palate; and Thou art the Vindumâlinî S’akti in the pituitary space between the eyebrows.Thou art the Kundalinî in the Mûlâdhâra (sacral plexus), the Vyâpinî extending upto the roots of the hairs; Thou art Madhyâsanâ on the crown of the head, and Thou art Manonmanî in the Brahmârandhra. O Devî! What need there is in stating these? Suffice it to say that whatever there is seen in this universe, all art Thou; therefore, O S’rî Sandhyâ Devî! I bow down to Thee. O Nârada! Thus I have spoken to you about the Gâyatrî-Stotra that gives all successes, destroys all sins, and yields all merits. He who reads this in the Sandhyâ times, with all attention, will get sons if he has no sons, will get wealth if he has no wealth. There is no doubt in this. Whoever reads this Stotra gets the fruits of all Tîrthas, all Tapasyâs, all gifts, all sacrifices and all Yogas. He enjoys happiness in this world and finally gets the Moksa. The Munis who are engaged in Tapasyâs read this Stotra. While bathing, if one reads this, merged under water, acquires the fruits of his being merged in the Sandhyâ. O Nârada! I speak this verily, verily, verily, unto you that there is no trace of any doubt in this statement. Whoever will hear with devotion this Sandhyâ stotra, the nectar-like thing, will be freed from all sins.Here ends the Fifth Chapter of the Twelfth Book on the Gâyatrî Stotra in the Mahâpurânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâsa.
6	1-3	Nârada said :-- O Bhagavân! O All-knowing One! O Thou versed in all the S’âstras! I have heard from Thy mouth all the secrets of S’rutis and Smritis. Now I ask Thee, O Deva! How can the knowledge of that Veda Vidyâ (Learning) be obtained by which all sins are rooted out and destroyed, how is Brahmajñânam obtained and how can Moksa be obtained? How can death be conquered and how can the best results be obtained in this world and in the next. O Lotus-eyed One! Thou ought’st to describe fully all these to me.
