Adhyaya_no	Brahmana_no	Text_no	Hymn
1	1	1	Being about to build the Gârhapatya (fire-place), he sweeps (its site) with a Palâsa (butea frondosa) branch. For when he builds the Gârhapatya  he settles on that place; and whatsoever builders of fire-altars (there have been), they are indeed settled on this earth; and when he sweeps (that place) he thereby sweeps away those settled (there before hire), thinking, 'Lest I should settle on those already settled (here).'
1	1	2	'Off with you! away with you! crawl away from here !'--that is, 'Go off, go away, and crawl away from here!' he says this to those that crawl on their belly;--'Ye that are here of old and of late!' that is, 'both ye who were here of yore, and ye of the present day.'
1	1	3	'Yama hath given the settlement on earth (to this Sacrificer);'--for Yama indeed rules over the settling on this earth, and it is he who grants to this (Sacrificer) a settlement on this earth.
1	1	4	'The Fathers have prepared this place for him!' for Yama is the Kshatra (nobility, or ruling power), and the Fathers (deceased ancestors) are the clansmen; and to whomsoever the chief (kshatriya), with the approval of the clan, grants a settlement, that (settlement) is properly given: and in like manner does Yama, the ruling power, with the consent of the Fathers, the clan, now grant to this (Sacrificer) a settlement on this earth.
1	1	5	With a palâsa branch he sweeps; for the Palâsa tree is the Brahman : it is by the Brahman he thus sweeps away those already settled;--with a prayer (he does so), for the prayer is the Brahman: it is by the Brahman he thus sweeps away those already settled. He throws it (the branch) out towards the north .
1	1	6	He then scatters saline soil (over the hearth-site); for the Gârhapatya is this world, and salt means cattle: he thus bestows cattle on this world,--hence those cattle here in this world.
1	1	7	And again why he scatters saline soil. Pragâpati created creatures; he created them with different kinds of amnions: they did not agree together. He desired, 'May they agree together!' He made them to be of the same (kind of) amnion: hence even to this day, being of equal amnions, they agree together. And he who offers, offers thinking, 'May I be (born) with the same (kind of) amnion as the gods!' and when he scatters saline salt (in the hearth-site) he thereby becomes of equal amnion with the gods.
1	1	8	'Concord thou art!' for thereby they agreed together ;--'fulfilment of desire;' for salt is cattle, and fulfilment of desire means cattle;--'In me may there be the fulfilment of thy desire!' that is, 'May there be on me cattle for thee!'--He covers with it the whole (circular) Gârhapatya; for the Gârhapatya altar is the womb, and the saline soil is the amnion: he thus covers the whole womb with the amnion.
1	1	9	He then scatters sand to keep (the saline soil, or amnion) from being scorched ;--for sand is nothing else than the ashes of Agni Vaisvânara, and him, Agni Vaisvânara, he is indeed about to build up; and Agni does not scorch his own self.
1	1	10	And again why he scatters sand,--sand is nothing else than the seed of Agni Vaisvânara , and him, Agni Vaisvânara, he is about to build up; but nothing is fashioned from out of the seedless: 'May he (Agni) be fashioned from out of this seed!' so he thinks.
