01001.1	Now may Vāchaspati assign to me the strength and powers of Those Who, wearing every shape and form, the triple seven, are wandering round. 
01001.2	Come thou again, Vāchaspati, come with divine intelligence. Vasoshpati, repose thou here. In me be Knowledge, yea, in me. 
01001.3	Here, even here, spread sheltering arms like the two bow-ends strained with cord. This let Vāchaspati confirm. In me be Knowledge, yea, in me. 
01001.4	Vāchaspati hath been invoked: may he invite us in reply. May we adhere to Sacred Lore. Never may I be reft thereof.
01002.1	We know the father of the shaft, Parjanya, liberal nourisher, Know well his mother: Prithivī, Earth with her manifold designs. 
01002.2	Do thou, O Bowstring, bend thyself around us: make my body stone. Firm in thy strength drive far away malignities and hateful things. 
01002.3	When, closely clinging round the wood, the bowstring sings triumph to the swift and whizzing arrow, Indra, ward off from us the shaft, the missile. 
01002.4	As in its flight the arrow's point hangs between earth and firmament, So stand this Munja grass between ailment and dysenteric ill!
01003.1	We know the father of the shaft, Parjanya strong with hundred powers: By this may I bring health unto thy body: let the channels pour their burthen freely as of old. 
01003.2	We know the father of the shaft, Mitra, the Lord of hundred powers: By this, etc. 
01003.3	We know the father of the shaft, Varuna, strong with hundred powers:  By this, etc. 
01003.4	We know the father of the shaft, the Moon endowed with hundred powers: By this, etc. 
01003.5	We know the father of the shaft, the Sun endowed with hundred powers: By this may I bring health unto thy body: let the channels pour their burthen freely as of old. 
01003.6	Whate'er hath gathered, as it flowed, in bowels, bladder, or in groins, Thus let the conduit, free from check, pour all its burthen as of old. 
01003.7	I lay the passage open as one cleaves the dam that bars the lake: Thus let, etc. 
01003.8	Now hath the portal been unclosed as, of the sea that holds the flood: Thus let, etc. 
01003.9	Even as the arrow flies away when loosened from the archer's bow, Thus let the burthen be discharged from channels that are checked no more.
01004.1	Along their paths the Mothers go, sisters of priestly ministrants, Blending their water with the mead. 
01004.2	May yonder Waters near the Sun, or those wherewith the Sun is joined, Send forth this sacrifice of ours. 
01004.3	I call the Waters, Goddesses, hitherward where our cattle drink: The streams must share the sacrifice. 
01004.4	Amrit is in the Waters, in the Waters balm. Yea, through our praises of the Floods, O horses, be ye fleet and strong, and, O ye kine, be full of strength.
01005.1	Ye, Waters, truly bring us bliss: so help ye us to strength and power  That we may look on great delight. 
01005.2	Here grant to us a share of dew, that most auspicious dew of yours, Like mothers in their longing love. 
01005.3	For you we fain would go to him to whose abode ye send us forth, And, Waters, give us procreant strength. 
01005.4	I pray the Floods to send us balm, those who bear rule o'er precious things, And have supreme control of men.
01006.1	The Waters be to us for drink, Goddesses, for our aid and bliss:  Let them stream health and wealth to us. 
01006.2	Within the Waters—Soma thus hath told me—dwell all balms that heal, And Agni, he who blesseth all. 
01006.3	O Waters, teem with medicine to keep my body safe from harm, So that I long may see the Sun. 
01006.4	The Waters bless us, all that rise in desert lands or marshy pools! Bless us the Waters dug from earth, bless us the Waters brought in jars, bless us the Waters of the Rains!
01007.1	Bring the Kimidin hither, bring the Yātudhāna self-declared For Agni, God, thou, lauded, hast become the Dasyu's slaughterer. 
01007.2	O Jātavedas, Lord Supreme, controller of our bodies, taste The butter, Agni, taste the oil: make thou the Yātudhānas mourn. 
01007.3	Let Yātudhānas mourn, let all greedy Kimidins weep and wail: And, Agni, Indra, may ye both accept this sacrifice of ours.  
01007.4	May Agni seize upon them first, may strong-armed Indra drive them forth: Let every wicked sorcerer come hither and say, Here am I. 
01007.5	Let us behold thy strength, O Jātavedas. Viewer of men, tell us the Yātudhānas. Burnt by thy heat and making declaration let all approach this sacrifice before thee. 
01007.6	O Jātavedas, seize, on them: for our advantage art thou born: Agni, be thou our messenger and make the Yātudhānas wail. 
01007.7	O Agni, bring thou hitherward the Yātudhānas bound and chained. And afterward let Indra tear their heads off with his thunder- bolt.  
01008.1	This sacrifice shall bring the Yātudhānas as the flood brings foam:  Here let the doer of this deed woman or man, acknowledge it. 
01008.2	This one hath come confessing all: do ye receive him eagerly. Master him thou, Brihaspati; Agni and Soma, pierce him through. 
01008.3	O Soma-drinker, strike and bring the Yātudhāna's progeny: Make the confessing sinner's eyes fall from his head, both right and left. 
01008.4	As thou, O Agni Jātavedas, knowest the races of these secret greedy beings, So strengthened by the power of prayer, O Agni, crushing them down a hundred times destroy them.
01009.1	May Indra, Pūshan, Varuria, Mitra, Agni, benignant Gods, maintain this man in riches. May the Ādityas and the Vive Devas set and support him in supremest lustre.  
01009.2	May light, O Gods, be under his dominion, Agni, the Sun, all; that is bright and golden. Prostrate beneath our feet his foes and rivals. Uplift him to the. loftiest cope of heaven. 
01009.3	Through that most mighty prayer, O Jātavedas, wherewith thou. broughtest milk to strengthen Indra, Even therewith exalt this man, O Agni, and give him highest rank among his kinsmen. 
01009.4	I have assumed their sacrifice, O Agni, their hopes, their glory,. and their riches' fulness. Prostrate beneath our feet his foes and rivals. Uplift him to the- loftiest cope of heaven.
01010.1	This Lord is the Gods' ruler; for the wishes of Varuna the King must be accomplished. Therefore, triumphant with the prayer I utter, I rescue this man from the Fierce One's anger. 
01010.2	Homage be paid, King Varuna, to thine anger; for thou, dread God, detectest every falsehood. I send a thousand others forth together: let this thy servant live a hundred autumns. 
01010.3	Whatever falsehood thou hast told, much evil spoken with the tongue, I liberate thee from the noose of Varuna the righteous King. 
01010.4	I free thee from Vaisvānara, from the great surging flood of sin. Call thou thy brothers, Awful One! and pay attention to our prayer.
01011.1	Vashat to thee. O Pūshan At this birth let Aryaman the Sage perform as Hotar-priest,  As one who bears in season let this dame be ready to bring forth her child. 
01011.2	Four are the regions of the sky, and four the regions of the earth: The Gods have brought the babe; let them prepare the woman for the birth. 
01011.3	Puerpera (infatem) detegat: nos uterum aperimus. Lexa teipsam, puerpera. Tu, parturiens! emitte eum non carni, non adipi, non medullae adhāerntem. 
01011.4	Descendat viscosa placenta, cani, comedenda placenta; decidat placenta. 
01011.5	Diffindo tuum urinae ductum, diffindo vaginam, diffindo inguina. Matrem natumque divido, puerum a placenta divido: decidat placenta. 
01011.6	Sicut ventus, sicut mens, sicut alites volant, sic, decem mensium puer, cum placenta descende: descendat placenta.
01012.1	Born from the womb, brought forth from wind and from the cloud, the first red bull comes onward thundering with the rain. Our bodies may he spare who, cleaving, goes straight on; he who, a single force, divides himself in three. 
01012.2	Bending to thee who clingest to each limb with heat, fain would we worship thee with offered sacrifice, Worship with sacrifice the bends and curves of thee who with a vigorous grasp hast seized on this one's limbs. 
01012.3	Do thou release this man from headache, free him from cough which has entered into all his limbs and joints. May he, the child of cloud, the offspring of the wind, the whiz- zing lighting, strike the mountains and the trees. 
01012.4	Well be it with my upper frame, well be it with my lower parts. With my four limbs let it be well. Let all my body be in health.
01013.1	Homage to thee, the Lightning's flash, homage to thee, the Thunder's roar! Homage to thee, the Stone which thou hurlest against the undevout! 
01013.2	Homage to thee, Child of the Flood whence thou collectest fer- vent heat! Be gracious to our bodies, give our children happiness and joy. 
01013.3	Yea, homage be to thee, O Offspring of the Flood! Homage we pay to thee, the dart and fiery flame: For well we know thy secret and sublimest home, where thou as central point art buried in the sea. 
01013.4	Thou, Arrow, which the host of Gods created, making it strong and mighty for the shooting, Be gracious, lauded thus, to our assembly. To thee, that Arrow,. be our homage, Goddess!
01014.1	As from the tree a wreath, have I assumed her fortune and her fame: Among her kinsfolk long may she dwell, like a mountain broadly- based. 
01014.2	King Yama, let this maiden be surrendered as a wife to thee: Bound let her be meanwhile within, her mother's, brother's, father's house. 
