Chapter	Text_no	Hymn
1	1-10	Janamejaya said :-- “O Bhagavân! What is that great Yajña (sacrifice) named Ambâ Yajña about which you referred just now? Who is the Ambâ? Where was She born? From whom and what for did Her birth take place? What are Her qualities? What is Her form and nature? O Ocean of mercy! You are all-knowing; kindly describe everything duly. Along with this, describe in detail the origin of Brahmânda. O Brahmâna! You know every thing of this whole Universe. I heard that Brahmâ, Visnu and Rudra are the three Devatâs, who are successively originated to create, preserve, and destroy this Universe. Are these three highsouled entities independent? or Do they do their respective duties, being subservient to another Person? Now I am very eager to know all these. So Pârâs'ara's son! Describe all these to me. Are these highly powerful Brahmâ, Visnu and Mahes'vara subject to Death like ordinary beings? Or are they of the nature of everlasting Existence, Intelligence and Bliss? Are they subject to the three fold pains arising from their own selves from elements and from those arising from gods? Are they subject Time? How and wherefrom were they originated? Do they feel the influence of pleasure, pain, sleep or laziness? O Muni! Do their bodies consist of seven Dhâtus? (blood, etc.) or are they of some other kinds? A great doubt has arisen in me on all these points. If these bodies be not made up of five elements, then of what substance are they built of? And of what gunas are their senses built also? How do they enjoy objects of enjoyments? How long is their longevity? O Brâhmana! where do they, Brahmâ, Visnu, and Mahes'vara, the best of the gods live? And of what nature are their powers and prosperities? I like very much to hear all these. So describe all these in detail to me.”
1	11-24	Vyâsa said :-- “O highly intelligent king! The questions that you have asked me today whence and how Brahmâ, etc., were born ? etc., arevery difficult. In ancient days, once, on an occasion, I asked many questions like you to the Muni Nârada. At first he was greatly suprised to hear my queries, afterwards he gave due replies to them. O king! I will answer to you in the same way; listen. Once I saw that the all-knowing, peaceful Nârada, the knower of the Vedas was sitting on the banks of the Ganges. I became very glad and fell at his feet. By his order I took one excellent seat. Hearing, then, of his welfare and seeing him sitting on the sands I asked him :-- “O highly intelligent One! Who is the Supreme Architect of this widely extended Universe? Whence is this Brahmânda born? Is it eternal or temporary? When it is an effect, then it is natural that it cannot be created without a cause. Now when the cause, the creator, is certain, is he one or many? O sage! as regards this wide Samsâra, I have expressed my doubt; now answer me what is the Real and True, and thus remove my doubts. Many believe Mahâ Deva, the Lord of all the other Devas as the Supreme God, the Cause of all. He is the source of deliverance to all the Jîvas; devoid of birth and death; always auspicious; peaceful in Himself and  the controller of the three gunas. He is the one and only cause of creation, preservation and destruction. Some Pundits believe Visnu as the God of all and praise Him as such. It is Visnu that is the powerful Supreme Self, the Lord of all and the First Person Âdipurusa. It is He that has no birth nor death, the Deliverer of the whole Jîvas, Omnipresent; His faces are everywhere; He is the Granter of enjoyments and liberation to the devotees. Some others call again Brahmâ, the Cause of all. It is He that is omniscient and the Stimulator of all beings.The four-faced Brahmâ, the best of all the Devas is born from the navel lotus of some One of endless force. He resides in Satyaloka; He is the Creator of all and the Lord of all the Devas. Again some other Pundits call the Sun, Sûrya as God. In the morning and in the evening they chant His hymns, without any lack of slackness and laziness. Again there are some others, who say that Indra is the lord of all the Jîvas; He is thousand-eyed; it is Indra, the husband of S’achî, that is the God of all. Those who perform Yajñas (sacrifices) worship Vâsava, the king of the Devas. He drinks Soma juice Himself and those who drink Soma are his beloved. He is the one and only Lord of Sacrifices. Thus all men worship, according to their respective wishes, Varuna, Soma, Agni, Pavana (wind), Yama (the god of Death), Kuvera, the lord of wealth; there are some again who worship the elephant-faced Ganapati, the Fructifier of all actions, the Granter of desires of all the devotees, and the Giver of success to all in all enterprises, no sooner He is remembered. Some Âchâryas (professors) say again that the All auspicious the Âdi Mâyâ, the Great S’akti Bhavânî, the Giver of everything, Who is the nature of with and without attributesWho is not different from Brahmâ, who is both Purusa and Prakriti, the Creatrix, the Preservatrix and the Destructrix of all, the Mother of all the gods, beings and lokas, is the Great Goddess of this Brahmânda. She is without beginning and end, full, present in all the beings and everywhere. It is this Bhavanî that assumes the various endless forms such as Vaisnavî S’ânkarî, Brâhmî, Vâsavî, Vârunî, Vârâhî, Nara Simhî, Mahâ Laksmî the one and secondless Vedamâtâ, and others. It is this Vidyâ nature that is the One and the only Root of this tree of Samsâra (universe).The mere act of remembering Her destroys heaps of afflictions of the devotees and fulfills all their desires. She gives Moksa to those who are desirous of liberation and gives rewards to those who want such. She is beyond the three Gunas and still She emanates them. Therefore the Yogis that want rewards meditate Her, Who is of the nature of Vidyâ and Who is devoid of attributes. The best Munis, the knowers of the truths of Vedanta meditate on Her as formless, immutable, stainless, omnipresent Brahmâ devoid of all Dharma. She is described in some Vedas and Upanishads as full of Light (Tejas). Some intelligent persons describe God as of infinite hands, infinite ears, infinite legs, infinite faces, peaceful, Virât Purusa and describe sky as the Pada (place) of Visnu. Other knowers of the Purânas describe Him as Purusottama. There are some others again who declare that this creation cannot be done by a single individual. Some atheists say that this inconceivable infinite Universe can never be created by one God. So there is no such definite God that can be called its Creator. Though without any creator, this Brahmânda is sprung from the Nature and conducted by Her. The followers of the Sâmkhya system say that Purusa is not the creator of this Universe; they declare that Prakriti is the Mistress of this Universe O Muni! Thus I have expressed to you what the Muni Kapila, the Achârya of the Sânkhyas and the other philosophers declare as their opinions; various doubts, thus, reign always in my breast. Owing to these doubts my mind is so confused that I cannot arrive at any definite conclusion. My mind is very much unsettled as to what is Dharma and what is Adharma. What are the characteristics of Dharma? I cannot make out them. For the Devas are all sprung from the Sattva Guna and are always attached to the true Dharma; yet they are frequently troubled by the sinful Dânavas. How, then, can I place my confidence on the permanence of the Dharma? My forefathers, the Pândavas were always endowed with good behaviours and good actions and they remained always in the path of the Dharma; yet they suffered a good deal of troubles and sufferings. In these cases it is very difficult understand the greatness of Dharma. So, O Father! Seeing all these, my mind is thrown into a sea of doubts and troubles. O Great Muni!There is nothing impracticable with you; so remove my doubts. O Muni! I am always plunged and raised and plunged again in this sea of delusion. So save me by lifting me on a boat of wisdom and carry me across this ocean of samsâra (this world).Thus ends the first chapter on the third Skandha on the questions put by Janamejaya in the Mahâpurâna S'rîmad Devî Bhagâvatam of Eighteen Thousand verses by Maharsi Veda Vyâs.
2	1-19	Vyâsa said :-- O mighty armed Kuru! What you have asked me just now, I also asked the same thing to Nârada, the lord of the Munis and he gave me the following reply :-- O Vyâsa! What shall I say to you on this point more than this that a doubt occurred to me also in my former days. The question that you have put to me today rose in my mind before; and I went to my father Brahmâ, of endless energy and asked to him thus :-- O Lord! O Father! Whence is this whole Brahmânda born? Have You created it? Or is it Visnu or Mahes'vara? O all pervading soul! Who is there in this Brahmânda fit to be worshipped? O Lord of the world! Who is the top-most Lord ruling over everything? Kindly say. O Brahmân! I am plunged in this sea  of Maya and perils; my heart is agitated with doubts; hence it is not appeased in any place of pilgrimage ; or in thinking any Deva or in practising any Sâdhan or in any other object. O Sinless one! Give me the answers duly and thus remove my doubts. O Tormentor of foes! Unless the highest truth is not known, peace is not found. This heart, distracted in various ways, cannot rest fixed on one subject. Whom am I to remember? Whom to worship? Where to go? Whom to praise? Who is the Supreme God this Universe? I do not understand these things. O Satyavatî's son! Hearing these my serious queries, Brahmâ, the grand-Sire of beings, replied to me as follows :-- O highly illustrious son! What more shall I say to you than this that even Visnu is unable to answer your questions; so difficult are they indeed! O great intelligent one! Nobody that is attached to the world knows anything about this. Those who are unattached to this world, who are free from any envy,these who are without desires and calm, those highsouled ones know the secret of all this. In former days when all was water, water everywhere and all things, moving and non-moving were destroyed, when five elements were sprung, then I was also born from the lotus navel of Visnu. Then not seeing Moon, Sun, trees, or mountains or anything and sitting on the centre (Karnikâ) of the lotus thought thus :-- When I am born in this great ocean of waters? Who has created me? Who is now my protector?And Who will be my Destroyer when this cycle ends? There is no earth distinctly visible anywhere here; on what, then, this mass of water rests? Lotus is termed Pankaja because it springs from mud and dirt; so unless there exists the earth underneath with mud and dirt, how this lotus will come out here! Now let me try and find out where is the root of this lotus, where is the mud and dirt? If this be found, then the earth will be also certainly there. Thus thinking, I dived underneath the water and searched for one thousand years but could not find earth anywhere, when the celestial voice entered my ears “Practise tapasyâ (austerities).” Hearing this celestial voice, I sat on the lotus, my birth place, and practised tapasyâ for one thousand years.
2	20-30	Next, the celestial voice came again “Create.” Hearing this, I became quite confounded and began to think within myself “now what am I to create? What to do?” After this, the two terrible Daityas Madhu and Kaitabha came to me and affrighted me saying “Fight with us.” I became quite terrified and holding the stem of the lotus, I got down within the water. There I saw a wonderful person, sleeping on the Ananta serpent. He was of a deep blue colour like a rain-cloud, wearing yellow clothes, four-armed, garlanded with forest flowers, and the Lord of this whole Universe. On the four arms of this Mahâ Visnu there were conch-shells, disc, club, and lotus and other weapons. I saw this Achyuta Purusa, sleeping on the Ananta serpent bed, motionless and under the influence of Yoga Nidrâ. I then thought within myself “What am I to do?” Not being able to find out any other way, I recollected the Devî who was then of the nature of sleep and began to praise Her. The auspicious Devî Yoga Nidrâ, whose form could not be determined, immediately left the body of Visnu and decorated with divine ornaments, began to shine in the air. After She left the body of Visnu, Visnu immediately got up. And He fought terribly for five thousand years with the Dânavas Madhu Kaitabha; then by the grace of the Bhagavatî, He extended His own thighs and then, on those thighs, He slew the two demons. Where Visnu and myself were standing, Rudra Deva came also and joined with us. Then we three saw the beautiful Devî in the celestial space.
2	31-40	We three, then, commenced to chant hymns to Her and She gladdened our hearts by Her gracious look and said :-- “O Brahmâ! O Visnu! O Rudra! The two great Daityas are slain. Now forsake your laziness and do your respective works of creating, preserving, and destroying the Universe; create your own abodes, and live in happiness; create by your respective lordly powers, the fourfold beings.” Hearing the Devî's gentle sweet words, we spoke :-- “O Mother! There is no wide earth here; all is one mass of infinite ocean. No five elements, no five tanmâtrâs,no sensual organs, no Gunas, nothing exist here; how can we then execute the works of creation, etc. Hearing our words, the Devî smiled. Immediately there came from the sky overhead a beautiful aerial car. The Devî said :-- “O Brahmâ! O Visnu! O Rudra! Get in this car without any fear. To-day I will show you one wonderful thing.” At Her word, we got into the beautiful car without any fear. It was decorated with various gems and jewels, bedecked with pearls, emitting sweet tinkling sounds of bells and looking as the abode of the celestials. Seeing us seated without any fear, She made the car get high up in the sky by Her force.Thus ends the second chapter of the third skandha on Brahmâ, Visnu and Rudra's going towards the heavens on the celestial car, given by the Devî in the Mahâpurâna S'rîmad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâs.
3	1-5	Brahmâ said :-- “We were very much astonished not to find water where our beautiful aeroplane landed us. We sawearth resonated with the sweet cooings of the cuckoos, filled with beautiful fruit-laden trees, forests and gardens. Big rivers, wells, tanks, ponds, water-springs, small pools, women, men all are there. Next we saw, in front of us, a nice city enclosed by a divine wall, containing many sacrificial halls and various palatial buildings and magnificent edifices. Oh! We thought :-- It is Heaven! What a great wonder! Who built this?
3	6-11	Next we saw a king looking like a Deva is going out on a hunting excursion in the forest. The Devî Ambikâ, Whom we saw before, is staying on the chariot. In an instant, our aeroplane, propelled by air got high up above the sky and reached in the twinkling of an eye at a lovely place. We saw there a divine Nandana garden. There Surabhi, the cow of plenty, was staying under the shade of the Parijâta tree. Close by her, there was an elephant having four tusks; and Menaká and other hosts of Apsarâs were there with their various gestures and postures, playing, dancing and singing. There were hundred of Yaksas, Gandharbhas, Vidyâdharas within that Mandâra garden playing and singing. Within this there was the Lord Satakratu with S'achî, the daughter of Pulomâ.
3	12-34	Next we saw with great wonder, Varuna, the lord of the aquatic animals, Kuvera, Yama, Sûrya (sun), fire and the other Devas; then we saw that in our front, Indra the Lord of the Devas, was coming out from a well decorated city. He was there situated in his palanquin, calm and quiet and carried by men. Then the car, where we were situated, began toget up high in the sky, and in the twinkling of an eye, we reached Brahmâ loka, that is saluted by all the Devas. There S'ambhu and Kes'ava were greatly bewildered to see Brahmâ of that place. In the council hall of Brahmâ, the Vedas with their Angas, the serpents, hills, oceans and rivers were seen. Seeing all these, Visnu and Mahes'vara asked me :-- “O Four-faced one! Who is this eternal Brahmâ? I replied :-- I do not know who is this Brahmâ? Who am I? and who is He? why has this error come over me? You, too, also are gods so you can better ponder over it.” Next our car, going with the swiftness of mind went, in the twinkling of an eye, to the beautiful all auspicious Kailâs'a mountain surrounded by bliss-giving Yaksas. It was beautified by the Mandâra garden, resonated by the sweet cooings of S'ukas and cuckoos and the sweet sounds of lutes and small drums and tabors. When we reached there we saw the five faced, three-eyed Bhagavân S'ashi S'ekhara, with ten hands, wearing tiger skin, and the upper garment of the elephant skin. He was then, getting out of his abode, riding on a bull. His two sons, the great heroes, Ganes'a and Kârtikeya, beautifully adorned, were attending Him as His body guards. Nandi and all other hosts were following Him, chanting victories to Him. O Muni Narâda! we were greatly wondered to see another S'ankara, surrounded by the Matrikâs. So much so, that perplexed with doubts, I sat down there. Next our aeroplane went on with the force of wind; and in an instant reached the abode of Vaikuntha, the amusement court of Laksmî. O Sûta! There at Vaikuntha, we saw a wonderful manifestation of power. Our companion Visnu was greatly surprised to see that excellent city. We saw there four-armed Visnu, of the colour of Âtasi flower, wearing yellow garments, adorned with divine ornaments sitting on Garuda. Laksmî Devî is fanning wonderful chowry to Him. Struck with wonder at the sight of the eternal Visnu, we took our seat on the car and looked at one another's face.Next the balloon ascended with the swiftness of wind; and, in the twinkling of an eye, reached to the ocean of nectar, the Sudhâ-Sâgar, with waves playing sweetly on it. This ocean Sudhâ Sâgara is filled with aquatic animals and agitated with ripples. We saw and went along and came to a very wonderful place called the Mani Dvîpa (the island of gems) in the midst of the Ocean. It was adorned with Mandâra and Pàrijâta an other heavenly flower trees (plants?), with various beautiful carpets, with variegated trees As'oka, Vakula, Ketakî, Champaka, Kuravaka, etc., adorned with lustrous gems and pearls. It was resonated with the sweet cooings of the cuckoos and the humming sounds of bees; and it presented the sight of a sweet harmonious music playing there.
3	35-67	Sitting on our aeroplane, we saw, from a distance, within thatDvîpa, abeautiful cot known as S'ivâkâra (i.e. whose four legs represent Brahmâ, Visnu, Rudra, etc., and whose top portion represents Sadâ S’iva looking like a rainbow, with exquisitely beautiful carpet spread over it and decked with various gems and jewels and inlaid with pearls. We saw a Divine Lady, sitting on the cot, wearing a red garmentand a garland of red cloth and bedewed with red sandal paste. Her eyes were dark-red; that beautiful faced red-lipped lady looked more beautiful than ten millions of lightnings and ten millions of Laksmîs and lustrous like the Sun. The Bhagavatî Bhuvanes'varî was sitting with a sweet smile on Her lips and holding in Her four hands noose, goad, and signs indicating as if She was ready to grant boons and asking Her devotees discard all fear. We never saw before such a form. Even the birds of that place repeat the mystic incantation Hrim and serve that Lady, Who is of the colour of the rising Sun, all merciful, and in the full bloom of youth. That lotus-faced smiling lady was adorned with all the beauties of Nature. Her high breasts defied the lotus bud. She was holding various jewelled ornaments, e.g., armplates, bracelets, diadems, etc.Her lotus-face looked exceedingly beautiful with jewelled ear-rings of the shape of the S’rî Yantra (yantra of Tripurâ Sundarî). Hrillekhâ and other Deva girls were surrounding Her. There were Sakhis on the four sides -- always chanting hymns to Mahes'varî, the Lady of the world. She was surrounded on Her all sides by Ananga kusuma and other Devîs. She was sitting in the middle of the Satkona (six angled) Yantra. We were all wondered at the sight of this Wonderful Form never seen before and wethought :-- “Who is this Lady? What is Her name? we know nothing of Her, from such a distance.” Thus while we were gazing at Her, that four armed Lady became gradually thousand eyed, with thousand hands and thousand feet; so it seemed to us. O Nârada! We became very much embarrassed with doubts and thought within ourselves “Is She Apsarâ (nymph) or a Gandharva daughter or any other Deva Girl? who is She ?” At this juncture Bhagavân Visnu saw closely the sweet smiling Devî and by his intelligence came to a definite conclusion and spoke to us :-- “This is the Devî Bhagavatî Mahâvidyâ Mahâ Mâyâ, undecaying and eternal; She is the Full, the Prakriti; She is the Cause of us all. This Devî is inconceivable to those who are of dull intellects; only the Yogis can see Her by their Yoga-powers. She is eternal (Brahmâ) and also non-eternal (Mâyâ). She is the Will-force of the Supreme Self. She is the First Creatrix of this world.This Devî with wide eyes, the Lady of the Universe, has produced the Vedas. The less-fortunate persons cannot worship Her. During the time of Pralaya, She destroys all the Universe, draws within Her body allthe subtle bodies (Linga-Sarîras), and plays. O two Devas! At present She is residing in the form of the Seed of the Universe. Behold! On Her sides areseen duly all the Vibhûtis (manifestations of powers). They are all adorned with divine ornaments and anointed with divine scents and are servingHer. O Brahmân! O S'ankara! To-day we are blessed and highly fortunate that we have got the sight of this Devî. The tapasyâ (asceticisms) that we practised of yore have yielded to us this fruit. Else why Bhagavatî has shown so carefully Her own form? Those who are highly meritorious by tapasyâs and gifts of abundant wealth, those high souled persons are able to see this all-auspicious Bhagavatî. The person attached to sensual objects can never see Her. It is She that is the Mûlâ Prakriti, united with the Chidânanda Person. It is She that creates this Brahmânda and exhibits it to the Paramâtmâ (the Supreme Self). O two Devas! This whole Universe and all the Seers and Seen and other things contained therein owe to Her as their sole cause. She is the Mâyâ assuming all forms; She is the Goddess of all. Where is I myself! Where are the Devas! Where are Laksmî and the other Devîs! We cannot compare to one-hundred thousandth part of Her. It is this all-excellent Lady, Whom I saw in the great Ocean when She reckoned Me who was baby then with greatest gladness. In former days, when I was sleeping on the cot made of immoveable fixed leaves of a banyan tree and licking my toe, making it enter within my mouth and playing like an ordinary baby, this Lady rocked my gentle body to and fro on the banyan leaves singing songs like a Mother. Now I recollect all what I felt before at Her sight and recognise that She is the Bhagavatî. These very things I now communicate to you. Hear attentively that She isthis Lady and She isour Mother.”Thus ends the third chapter of the Third Skandha on seeing the Devî in the Mahâ Purânam S’rîmad Devî Bhâgavatam of Eighteen Thousand verses by Maharsi Veda Vyâs.
4	1-20	Brahmâ said :-- Thus speaking, Bhagavân Janârdana Visnu spoke to me again :-- “Come, let us bow down to Her again and again and let us go to Her. We shall reach at Her feet fearlessly and we will chant hymns to Her; Mahâ Mâyâ will be pleased with us and will grant us boons. If the guards at the entrance prevent us from going, we would stand at the gateway and we will chant hymns to the Devî with one mind.”Brahmâ said :-- When Hari addressed us in the above way, we two became choked by intense feelings of joy; our voice became tremulous andwe waited there for some time; our hearts were elated with joy to go to Her. We then accepted Hari's word said “Om” and got down from our car and went with hastened steps and with fear to the gate. Seeing us standing at the gateway, the Devî Bhagâvatî smiled and within an instant transformed us three into females. We looked beautiful and youthful women, adorned with nice ornaments; thus we greatly wondered and went to Her. Seeing us standing at Her feet in feminine forms, the beautiful Devî Bhagâvatî, looked on us with eyes of affection. We then bowed to the great Devî, looked at one another and stood before Her in that feminine dress. We three, then, began to see the pedestal of the great Devî, shining with the lustre of ten million Suns and decorated with various gems and jewels. We next discerned that thousands and thousands of attendants are waiting on Her. Some of them are wearing red dress; some blue dress, some yellow dress; thus the Deva girls, variously dressed were serving Her and standing by Her side. They were dancing, singing on and playing with musical instruments and were gladly chanting hymns in praise of the Devî. O Nârada!We saw there another wonderful thing. Listen. We saw the whole universe, moving and non-moving within the nails of the lotus feet of the Devî. We saw there myself, Visnu, Rudra, Vâyu, Agni, Yama, Moon, Sun, Varuna, Tvastâ, Indra, Kuvera and other Devas, Apsarâs, Gandarbhas, rivers, oceans, mountains, Visvâvasus Chitraketu, Sveta, Chitrângada, Nârada, Tumburu, Hâ Hâ Hû Hû and other Gandarbhas, the twin As'vins, the eight Vasus, Sâdhyas, Siddhas, the Pitris, Ananta and other Nâgas, Kinnaras, Uragas, Râksasas, the abode of Vaikuntha, the abode of Brahmâ, Kailas'a mountain, the best of all mountains; all were existing there. Within that nail of the toe were, reflected all the things of the Universe. The lotus whence I was born, the four faced Brahmâ like myself on that lotus, Bhagavân Jagannâth lying on that bed of Ananta, the two Demons Madhu Kaitabha, all I saw there.
