Adhyaya_no	Brahmana_no	Text_no	Hymn
1	1	1	In the first place that Agni (the Fire-altar), the year, is built ; thereafter the Great Litany (mahad uktham) is recited . When Pragâpati became relaxed, the vital fluid flowed upwards .
1	1	2	Now, that Pragâpati who became relaxed is the year; and those joints of his which became relaxed are the days and nights.
1	1	3	And that Pragâpati who became relaxed is this very Fire-altar which here is built; and those joints of his, the days and nights, which became relaxed are no other than the bricks;--thus, when he lays down these (in the layers of the altar), he thereby restores to him those joints of his, the days and nights, which had become relaxed: and thusit is even in this (building of the altar) that this Yagus is built up  and secured (for Pragâpati).
1	1	4	And that vital fluid (essence) of his which flowed upwards (became) the Great Litany: it is in quest of that vital fluid that (the priests) go by means of the Rik and Sâman. And when the Yagus marches in front in this (quest) , it is in order to fetch something that that (Veda) goes--even as (one might say), 'That one thing there is mine, I will fetch it,' so does that Yagus go in front (or forward). That (vital fluid) they obtain in the course of a year .
1	1	5	The Adhvaryu takes (draws) it by means of the Graha (Soma-cup); and inasmuch as he thereby takes (grab) it, it is (called) Graha . The Udgâtri puts the vital fluid into it by means of the (sâman of the) Great Rite (mahâvrata ); but, indeed, the (sâman of the) Great Rite is (equivalent to) all these (other) sâmans (hymn-tunes): it is thus by means of all the hymn-tunes that he puts the vital fluid therein. The Hotri puts the vital fluid therein by means of the Great Litany; but, indeed, the Great Litany is the same as all these rik (hymn-verses) : it is thus by means of all the hymn-verses that he puts the vital fluid into it (the Soma-cup).
1	1	6	When those (Udgâtris) chant (the stotra), and when he (the Hotri) recites (the sastra) afterwards, then he (the Adhvaryu) offers that (vital fluid, in the form of Soma) unto him (Agni-Pragâpati) at the Vashat-call; and thus this vital fluid enters him. For, indeed, they do not see it to be the Great Rite that lies there being praised, nor the Great Litany, but it is Agni alone they see; for Agni is the self (body), and thus those two, the Rik and the Sâman, enter him in the form of the vital fluid; and thus they both enter (join) the Yagus.
1	1	7	Now, that Agni (fire-altar) consists of pairs--the first layer and the second, and the third and fourth; and of the fifth layer the fire which is placed on the built (altar) is the mate. And, indeed, this body consists of pairs.
1	1	8	The thumbs (and great toes, 'aṅgushtha,' m.) are males, and the fingers and toes ('aṅguli,' f.) females; the ears ('karna' m.) are males, and the eyebrows ('bhrû,' f.) females; the lips ('oshtha,' m.) are males, and the nostrils ('nâsikâ,' f.) females; the teeth ('danta,' m.) are males, and the tongue ('gihvâ,' f.) is a female: indeed the whole (body) consists of pairs, and with this body, consisting of pairs, that (vital fluid) enters this Agni (the fire-altar), consisting of pairs .
1	1	9	This, then, is the entering therein;--even thus, indeed, he (Agni) consists of pairs ; but in thisway also he consists of pairs:--the fire-altar here built up is no other than this speech, for with speech it is built up; and the fire which is placed on the built (altar) is the breath; and the breath ('prâna,' m.) is the male, the mate, of speech ('vâk,' f.). And, indeed, this body is speech; and the breath which is in the body is its mate: with this mated body that (vital fluid) thus enters into the mated Agni.
1	1	10	This also is the entering therein;--there is indeed no fear of him (Agni) being without offspring to whosoever thus knows these two, the body and Agni, to be a pair; but, indeed, this body is food, as is said by the Rishi , 'The Dakshinâ winneth food which is our own self (breath).'
