Adhyaya_no	Brahmana_no	Text_no	Hymn
1	2	1	He then sprinkles him (Agni-Rudra, the fire-altar). For the gods, having now appeased him by the Satarudriya, thereby appeased him still further; and in like manner does this (Sacrificer), now that he has appeased him by the Satarudriya, still further appease him thereby.
1	2	2	With water he sprinkles him ,--water is a means of appeasing (soothing): he thus appeases him thereby. He sprinkles him all over; he thus appeases him all over. Thrice he sprinkles,--threefold is Agni: as great as Agni is, as great as is his measure, with so much he thus appeases him.
1	2	3	And, again, as to why he sprinkles him,--that Agni (the fire-altar), doubtless, is these worlds: by water he thus encompasses these worlds, by the ocean, indeed, he encompasses them. On every side (he sprinkles the altar): hence the ocean flows round these worlds on every side. From left to right (he sprinkles): hence the ocean flows round these worlds from left to right.
1	2	4	For safety from injury it is the Agnîdh who sprinkles, for the Agnîdh is the same as Agni, and no one injures his own self. From a stone (he sprinkles), for from the rock water springs forth;--from the arm-pit, for from the arm-pit water springs forth; from the right arm-pit , for from the right arm-pit water springs forth.
1	2	5	, 'The food that is lying in the rock, in the mountain,'--for that food, water, is indeed contained in the rock, in the mountains;--'the drink that is gathered from waters, plants and trees,'--for from all that that drink is indeed gathered;--'that sap and food bring ye unto us, O Maruts, as bountiful givers!'--for the Maruts are the rulers of the rain. With 'In the rock is thy hunger,' he (after watering the altar) sets down (the pitcher on the stone): he thus lays hunger into the stone, whence the stone is not fit for eating. But hard also is the stone, and hard is hunger: he thus puts the hard along with the hard. With, 'In me thy food!' he takes up (the pitcher): he thereby takes up the food into his own self. Thus (he does) a second and a third time.
1	2	6	Having (finally) set down the pitcher, he perambulates thrice (the altar); for when (in sprinkling) he walks all round it, he, as it were, makes light of him (Agni-Rudra). He now makes amends to him, for (his own) safety.
1	2	7	And, again, as to why he perambulates it,--he then (in sprinkling the altar) goes after him  (Agni-Rudra): thereupon he now recovers his own self unto life, and so does he by that self of his obtain all vital power.
1	2	8	Thrice he perambulates it, for thrice he walks round it (whilst sprinkling): thus as many times as he walks round it, so many times does he perambulate it.
1	2	9	Having thereupon put that stone into the water-pitcher, they throw it in that (south-western) direction, for that is Nirriti's region: he thus consigns pain  to Nirriti's region.
1	2	10	For at that time, the gods, having appeased him by the Satarudriya and the water, thereby drove out his pain, his evil; and in like manner does this (Sacrificer) now, after appeasing him by the Satarudriya and the water, cast away his pain, his evil.
1	2	11	Outside the fire-altar he throws it; for this fire-altar indeed is the same as these (three) worlds: he thus puts pain outside these worlds;--outside the sacrificial ground (vedi); for the Vedi is this (earth): he thus puts pain outside this earth.
1	2	12	Whilst standing at the right thigh of the Vedi, with his face to the east, he throws it southwards, with, 'Let thy pain enter him whom we hate!' and thus its pain enters whomsoever he hates. He may say, 'Let thy pain enter so-and-so!' naming him whom he hates, and then he has no longer any hold upon him; but let him take no notice of this, for indicated of himself is he whom he who knows this hates. If it  should remain unbroken, let him bid (the Pratiprasthâtri) to break it; for only when it is broken, the pain enters him whom he hates. They return (to the altar) without looking back: they thus leave pain and evil behind without looking back to them.
1	2	13	Having returned, he makes the bricks his ownmilch cows; for the gods, having now appeased him (Agni-Rudra) by the Satarudriya and the water, and having driven out his pain and evil, returned (to the altar) and made the bricks their own milch cows; and in like manner does this (Sacrificer) now, after appeasing him by the Satarudriya and the water, and casting off his pain and evil, return and make the bricks his own milch cows.
1	2	14	And some say, 'Let him make them his own whilst sitting, for sitting one milks the cow.' But let him rather make them his own standing; for that fire-altar is these worlds, and these worlds are, as it were, standing. And, moreover, one is stronger whilst standing.
1	2	15	, whilst standing (near the right thigh of the altar) with his face towards the north-east; in front stands that cow by the Sacrificer with her face towards the west (back), for from the right side they approach the cow which stands with its face towards the back (west).
1	2	16	And wherever he reaches (whilst stretching his arms over the altar), there he touches it and mutters this formula , 'Let these bricks be mine own milch cows, O Agni!' for Agni rules over this making of cows, whence he addresses Agni out of so many deities;--'One, and ten  . . . . and a hundred thousand millions, and a billion;'--for the one, to wit, one and ten, is the lowest quantity, and the other, to wit, a hundred thousand millions, and a billion, is the highest quantity; thus, having comprehended them by thelowest and the highest quantity, the gods made them their own milch cows; and in like manner does this (Sacrificer), having thus comprehended them by the lowest and the highest quantity, make them his own milch cows. Hence also he need not care to make many (cows) his own , for in yonder world that (Sacrificer), by means of the Brahman (holy writ), the Yagus, will make many (cows) his own. And in that he carries on (the numbers) uninterruptedly, thereby he carries on, without interruption, his objects of desire.
1	2	17	And as to why he makes the bricks his own milch cows,--this fire-altar is speech, for with speech it is built up; and when he says, 'One, and ten, . . . and a hundred thousand millions, and a billion,'--'one' is speech, and a hundred thousand millions is speech, and a billion is speech: it is Speech herself that the gods thereby made their own milch cow; and in like manner does the Sacrificer thereby make Speech herself his own milch cow. And in that he carries on (the numbers) uninterruptedly, thereby it is Speech herself that he carries on:--'Let these bricks be mine own milch cows, O Agni, hereafter in yonder world!' He thereby makes them his own milch cows in this world, and he also makes them his own milch cows in yonder world; and thus they are profitable to him in both worlds, in this one and in the other.
1	2	18	, 'The seasons ye are,'--for these (bricks) are indeed the seasons;--'law-sustaining,' that is, 'truth-sustaining;'--'be ye season-abiding, law-sustaining!--for the bricksare the days and nights, and the days and nights indeed abide in the seasons;--'fat-showering, honey-showering,'--he thereby makes them fat-showering and honey-showering for himself.
1	2	19	'The widely-shining by name,'--for the gods then called those bricks to them by their names, and in the same way in which they called them, they turned unto them; but the 'space-fillers' alone stood with averted faces discharging water, having no names applied to them. They called them by the name 'the widely-shining,' and they turned unto them. Hence, each time he has laid down ten bricks, he addresses them with the 'space-filling  (verse)': he thereby makes them widely-shining (virâg), for the Virâg (metre) consists of ten syllables:--'wish-milking, never-failing,'--he thereby makes them wish-milking and never-failing.
