Adhyaya_no	Brahmana_no	Text_no	Hymn
1	1	Preface	The normal performance of the Agnyâdhâna, as that of the full and new-moon offerings, requires two days; the first of which is taken up with preliminary rites, while the second--that is, the first day of the respective half-moon--is devoted to the chief ceremonies, beginning with the production of the sacred fire by friction. After the sacrificer has chosen his four officiating priests--viz. the Brahman, Hotri, Adhvaryu, and Âgnîdhra (or Agnîdh)--he proceeds, together with them, to erect the two sheds or 'firehouses.' In order to determine their exact sites, the Adhvaryu first draws from west to east the so-called 'easterly' line , and on it marks,prakramas or steps from each other, the centres of the Gârhapatya and Âhavanîya fire-places, the outlines of which he then traces, making each a square aratni or cubit in area, the former circular, the latter square. The DakshinâgniThe Adhvaryu then procures a temporary fire,--either producing it by friction, or obtaining it from certain specified sources in the village,--and after the usual fivefold lustration of the Gârhapatya fire-place (cf. ), he lays down the fire thereon. Towards sunset the sacrificer [while seated east of the Âhavanîya house] invokes the gods and manes with 'Gods, fathers! fathers, gods! I sacrifice, being who I am; neither will I exclude him whose I am: mine own shall be the offering, mine own the toiling, mine own the sacrifice!' He then enters the Âhavanîya house from the east, passes through it to the Gârhapatya, and sits down behind (west of) the fire; his wife at the same time entering the Gârhapatya house from the south and seating herself south of him,--both facing the east. Thereupon the Adhvaryu hands to the sacrificer two pieces of wood (arani),--if possible, of asvattha, grown out of a samî tree,--to be used next morning for the production (or 'churning') of the sacred fire by one of them (the upper arani) being rapidly drilled in a hole in the other (or lower arani). [The sacrificer and his wife then lay the upper and lower sticks respectively on their laps; whereupon certain propitiatory ceremonies are performed by them, and honours are paid to the priests and the sticks; and the latter are finally deposited on a seat.] In the house of the Gârhapatya a he-goat may then be tied up for the night, which, if it belong to the sacrificer, is to be presented by him to the Âgnîdhra on the completion of the sacrifice.After sunset the Adhvaryu measures out four vessels of husked rice grains--each containing three handfuls, which quantity is considered sufficient to furnish a meal for one man--on an ox-hide died red [and spread out with the hairy side upwards and the neck-part to the east]. With this rice the (odana) kâtushprâsya, or '(pap) to be eaten by the four (priests),' is prepared on the provisional Gârhapatya fire. When it is ready, the Adhvaryu makes a hollow in the pap and pours clarified butter into it. He then takesDuring the night the sacrificer and his wife have to remain awake and keep up the fire. When the night clears up, the Adhvaryu extinguishes the fire, or, if there is to be a Dakshinâgni, he takes it southwards and keeps it in a safe place till that fire is made up. He then draws with the wooden sword three lines across the fire-place and proceeds with the preparation of the hearth-mounds in the way set forth in the first Brâhmana of this Book.
1	1	1	Now when he equips (Agni, the fire) from this and that quarter, that is the equipping (of the fire) with its equipments . In whatever (objects) some of (the nature of) Agni is inherent, therewith he equips (the fire); and in thus equipping it he supplies it partly with splendour, partly with cattle, partly with a mate.
1	1	2	In the first place he (the Adhvaryu) draws (three) lines (with the wooden sword on the Gârhapatya fire-place ). Whatever part of this earthis either trodden or spit upon, that he thereby removes from it; and he thus establishes his fire on earth that is entirely proper for the sacrifice: this is why he draws lines (across the fire-place).
1	1	3	He then sprinkles (the lines) with water. When he thus sprinkles (the fire-place) with water, that is the equipment (of the fire) with water. The reason why he brings water is that water is food; for water is indeed food: hence when water comes to this world, food is produced here. Thus he thereby supplies it (the fire) with food.
1	1	4	Water (ap, fem.), moreover, is female, and fire (agni, masc.) is male; so that he thereby supplies the latter with a productive mate. And since all this (universe) is pervaded (or obtained, âpta) by water, he sets up the fire, after he has obtained it by means of water . This is why he brings water.
1	1	5	He then brings (a piece of) gold. Now Agni at one time cast his eyes on the waters : 'May I pair with them,' he thought. He came together with them; and his seed became gold . For this reason the latter shines like fire, it being Agni'sseed. Hence it (gold) is found in water, for he (Agni) poured it into the water. Hence also one does not cleanse oneself with it , nor does one do anything else with it. Now there is splendour (for the fire): for he thereby makes it to be possessed of divine seed, bestows splendour on it; and sets up a fire completely endowed with seed. That is why he brings gold.
1	1	6	He then brings salt. Yonder sky assuredly bestowed that (salt as) cattle on this earth: hence they say that salt soil is suitable for cattle. That (salt), therefore, means cattle; and thus he thereby visibly supplies it (the fire) with cattle; and the latter having come from yonder (sky) is securely established on this earth. Moreover, that (salt) is believed to be the savour (rasa) of those two, the sky and the earth : so that he thereby supplies it (the fire) with the savour of those two, the sky and the earth. That is why he brings salt.
1	1	7	He then brings (the earth of) a mole-hill (âkhu-karîsha) . The moles certainly know thesavour of this earth: hence, by entering deeper and deeper into this earth, they (grow) very fat, knowing, as they do, its savour; and wherever they know the savour of this earth to be, there they cast it up. Hence he thereby supplies it (the fire) with the savour of this earth: that is why he brings a molehill. Moreover, they say of one who has attained prosperity (or splendour, sri) that he is purîshya; and purîsha and karîsha  doubtless mean one and the same thing: it is, therefore, for his (Agni's or the sacrificer's) attainment of splendour (sri) that he brings a mole-hill.
1	1	8	He then brings pebbles. Now the gods and the Asuras, both of them sprung from Pragâpati, once contended for superiority. This earth was then trembling like a lotus-leaf; for the wind was tossing it hither and thither: now it came near the gods, now it came near the Asuras. When it came near the gods,--
1	1	9	They said, 'Come, let us steady this resting-place; and when firm and steady, let us set upthe two fires on it; whereupon we will exclude our enemies from any share in it.'
